"","Scientific.Name.x.x","Federal.Listing.Status.x.x.x","Year.listed.x.x","Common.name.x.x","Species.Group.x.x","Regions.of.Occurrence.x.x","U.S..or.Foreign.Listed.x.x","Vertebrate.invertebrate.plant.x.x","hab.x.x","over.x.x","poll.x.x","spsp.x.x","env.x.x","demo.x.x","total.x.x","threats.addressed.by.conservation.x.x","threats.addressed.by.regulation..1...yes..0...no..x.x","counties_fips_final.x","area.x","area_weighted_footprint_2009","area_weighted_footprint_1993","area_weighted_built2009","area_weighted_built1994","area_weighted_crops2005","area_weighted_crops1992","area_weighted_navwater2009","area_weighted_navwater1994","area_weighted_lights2009","area_weighted_lights1994","area_weighted_pasture2009","area_weighted_pasture1993","area_weighted_pop2010","area_weighted_pop1990","change_footprint_area_weighted","change_built_area_weighted","change_navwater_area_weighted","change_lights_area_weighted","change_pasture_area_weighted","change_population_area_weighted","counties_missing_nass","landvalue","missingemploymentvalues","missingcounties","totalemployment","employmentsumrelevant","employmentconstruction","employmentforest","employmentmining","employmentcounties","employmentfarm","percapitaincome","incomerelevant","incomeconstruct","incomeforest","incomemining","incomefarm","incomemissingentries","missingcounties_income"
"82","Castilleja christii","Precluded",2012,"Christ's paintbrush","Flowering Plants","1","US","P",1,0,0,1,0,0,2,NA,"1","16031",6644895767,5.57226430015575,4.27998187040496,0.077623525899388,0.0567248843110912,1.8098223615465,0.665621734587252,0.0791962159729696,0.0791962159729696,0.252425735184356,0.179728317659352,1.4175250037319,1.68666965218689,0.61576354679803,0.29213315420212,1.29228242975079,0.0208986415882968,0,0.072697417525004,-0.26914464845499,0.32363039259591,0,1664,0,0,13594,1928,757,474,166,NA,531,30713,194758,25847,13003,5951,149957,0,0
"84","Castilleja elongata","Precluded",1998,"Tall paintbrush","Flowering Plants","2","US","P",1,0,0,0,1,1,3,"Habitat modification","0","48327, 48189, 48011, 48057, 48077, 48361, 48177, 48147, 48265, 48391, 48247, 48127, 48353, 48041, 48245, 48027, 48019, 48215, 48413, 48181, 48107, 48119, 48507, 48397, 48133, 48123, 48005, 48309, 48277, 48289, 48433, 48311, 48435, 48157, 48367, 48271, 48149, 48045, 48203, 48383, 48083, 48357, 48103, 48477, 48305, 48333, 48359, 48403, 48223, 48225, 48029, 48461, 48143, 48381, 48401, 48099, 48091, 48007, 48237, 48211, 48417, 48407, 48259, 48481, 48153, 48255, 48257, 48131, 48251, 48159, 48137, 48473, 48323, 48273, 48165, 48317, 48037, 48003, 48375, 48169, 48055, 48369, 48449, 48445, 48155, 48385, 48065, 48275, 48209, 48325, 48345, 48485, 48329, 48469, 48457, 48145, 48377, 48489, 48303, 48213, 48471, 48167, 48201, 48115, 48371, 48347, 48187, 48439, 48239, 48437, 48431, 48495, 48163, 48295, 48087, 48089, 48497, 48173, 48419, 48093, 48053, 48179, 48229, 48067, 48139, 48097, 48491, 48079, 48467, 48129, 48253, 48185, 48235, 48349, 48047, 48111, 48231, 48335, 48499, 48075, 48243, 48337, 48049, 48207, 48151, 48095, 48081, 48373, 48101, 48503, 48287, 48073, 48191, 48221, 48009, 48023, 48405, 48313, 48331, 48389, 48355, 48063, 48161, 48399, 48443, 48117, 48315, 48291, 48241, 48195, 48071, 48199, 48085, 48039, 48447, 48021, 48415, 48135, 48293, 48121, 48387, 48321, 48197, 48363, 48297, 48421, 48463, 48017, 48109, 48013, 48493, 48427, 48113, 48267, 48307, 48105, 48217, 48263, 48141, 48301, 48125, 48283, 48279, 48015, 48233, 48465, 48423, 48395, 48171, 48269, 48451, 48501, 48425, 48261, 48033, 48411, 48051, 48025, 48455, 48069, 48043, 48183, 48475, 48487, 48193, 48429, 48285, 48035, 48175, 48393, 48059, 48379, 48343, 48281, 48459, 48483, 48409, 48341, 48479, 48031, 48351, 48219, 48365, 48001, 48061, 48339, 48299, 48319, 48441, 48205, 48249, 48505, 48453, 48227",676641930188,7.77252019461726,7.9503566704095,0.644696423283005,0.639040219585911,0.437017274901294,1.04107838761661,0.0576466313638908,0.0567944684478401,1.00666771299319,0.963203974822933,1.46329189456419,1.36505675572524,2.09589207681599,1.81787468164321,-0.177836475792246,0.00565620369709352,0.00085216291605078,0.0434637381702526,0.0982351388389557,0.278017395172784,0,1372.15639832074,147,0,59606.3798763607,6742.84352726376,4370.62049305882,190.4513339236,1380.97309416241,NA,800.798606118929,29918.5566642818,442930.457797008,216050.997149551,3595.36189374882,208792.578872166,14491.5198815426,147,0
"103","Chorizanthe parryi var. fernandina","Precluded",2018,"San Fernando Valley Spineflower","Flowering Plants","8","US","P",1,0,0,1,1,1,4,"Habitat modification, demographic stochasticity, species-species interaction, environmental stochasticity","1","06111, 06029, 06037",36346284986,11.6548111240591,11.7627018272465,1.98823692523895,2.20754697489776,0.505702042305063,0.401978736560032,0.0492641229892129,0.0492641229892129,2.59744729805548,2.8503761019955,0.453316627792668,0.471089002686515,3.71856364831647,3.44016643199721,-0.107890703187421,-0.219310049658811,0,-0.252928803940024,-0.0177723748938468,0.27839721631926,0,9728.97343084413,0,0,1916236.24586494,119534.765799159,88481.9846994001,19804.8834416117,9648.06745472144,NA,1599.83020342573,35264.8563291094,7695739.03462976,5171539.33184343,485441.890103719,1159512.83568216,879244.977000446,0,0
"106","Cicindela albissima","Precluded",2013,"Coral Pink Sand Dunes tiger beetle","Insects","6","US","I",1,1,0,0,0,0,2,"Habitat modification","1","49025",10333912540,2.24074292065307,2.19521140622029,0.0169332079021637,0.0216368767638758,0.0493885230479774,0.00329256820319849,0.069015554866564,0.069015554866564,0.0315145813734713,0.0417685794920038,1.40583254938852,1.41288805268109,0.0420507996237065,0.0206020696142992,0.0455315144327799,-0.0047036688617121,0,-0.0102539981185325,-0.0070555032925701,0.0214487300094073,0,1493,1,0,4498,497,359,0,20,NA,118,29154,10414,10413,0,-75,76,1,0
"110","Cicindelidia highlandensis","Precluded",2016,"Highlands tiger beetle","Insects","4","US","I",1,0,0,1,0,0,2,"Habitat modification, species-species interaction","1","12055, 12105",7286531578,15.5662020161892,16.1819938720019,2.65011117467413,2.86004098354655,0.20580331633659,1.36534875536066,0,0,3.58827618226428,3.64184781813046,0.959501017484061,0.715499011290408,4.83064907501818,4.2673960683467,-0.61579185581275,-0.209929808872425,0,-0.0535716358661826,0.244002006193653,0.563253006671477,0,6048.04047557893,2,0,191153.274756444,20464.1041764332,14218.0498205842,3941.77837628524,678.251561181939,NA,1626.02441838179,28815.7969127605,740427.785682487,519097.824901908,95570.2432862043,39820.1363838926,85939.5811104821,2,0
"115","Cimicifuga arizonica","Precluded",1999,"Arizona bugbane","Flowering Plants","2","US","P",1,0,0,0,0,0,1,"Habitat modification","1","04027, 04021, 04017, 04011, 04013, 04019, 04003, 04005, 04007, 04009, 04015, 04025, 04012, 04023, 04001",294198661567,4.96721873795012,4.36645279612265,0.34712703491856,0.290054669082652,0.120722412049691,0.0398898975583103,0.027556162164537,0.0284791851818422,0.492965442328184,0.403393099323273,1.47810845513646,1.49705283522461,1.30016562569803,0.907009501316199,0.600765941827472,0.0570723658359079,-0.000923023017305173,0.089572343004911,-0.0189443800881557,0.39315612438183,0,1818.67261952304,13,0,279241.003982675,25918.5709511484,22729.5812519854,886.9953227788,952.102214403131,NA,1349.89216198108,28874.7543864293,1399860.78865903,1250225.19119675,19365.4239236323,76693.2969773581,53576.8765612934,13,0
"118","Cirsium rhothophilum","Precluded",1997,"Surf thistle","Flowering Plants","8","US","P",1,0,0,1,0,0,2,"Unspecified","0","06091, 06067, 06083, 06009, 06111, 06037, 06097, 06031, 06073, 06061, 06075, 06041, 06043, 06035, 06055, 06089, 06053, 06105, 06045, 06027, 06051, 06109, 06095, 06071, 06013, 06003, 06017, 06113, 06115, 06069, 06023, 06065, 06029, 06011, 06015, 06049, 06019, 06039, 06085, 06103, 06077, 06001, 06057, 06007, 06047, 06107, 06099, 06059, 06025, 06101, 06005, 06033, 06063, 06081, 06093, 06087, 06021, 06079",403483182192,6.87818320506527,6.92825474165851,0.833865120669248,0.934089462945004,0.275778180683196,0.391117393760385,0.0420245812942396,0.042311599246627,1.19353011091112,1.29585722238258,0.416760226980969,0.430256180688384,2.390569719457,2.10896761884728,-0.0500715365932463,-0.100224342275756,-0.000287017952387419,-0.102327111471461,-0.0134959537074146,0.281602100609723,0,6175.77365978073,25,0,479503.194146858,37774.7581297248,29687.5047606915,5325.54432083951,1313.35207041104,NA,1448.35697778278,34490.5073071604,2370603.43958521,1770789.92976538,141210.174770824,133980.234205409,324623.100843592,25,0
"120","Clarkia lingulata","Precluded",1997,"Merced clarkia","Flowering Plants","8","US","P",1,0,0,0,1,0,2,"Unspecified","0","06091, 06067, 06083, 06009, 06111, 06037, 06097, 06031, 06073, 06061, 06075, 06041, 06043, 06035, 06055, 06089, 06053, 06105, 06045, 06027, 06051, 06109, 06095, 06071, 06013, 06003, 06017, 06113, 06115, 06069, 06023, 06065, 06029, 06011, 06015, 06049, 06019, 06039, 06085, 06103, 06077, 06001, 06057, 06007, 06047, 06107, 06099, 06059, 06025, 06101, 06005, 06033, 06063, 06081, 06093, 06087, 06021, 06079",403483182192,6.87818320506527,6.92825474165851,0.833865120669248,0.934089462945004,0.275778180683196,0.391117393760385,0.0420245812942396,0.042311599246627,1.19353011091112,1.29585722238258,0.416760226980969,0.430256180688384,2.390569719457,2.10896761884728,-0.0500715365932463,-0.100224342275756,-0.000287017952387419,-0.102327111471461,-0.0134959537074146,0.281602100609723,0,6175.77365978073,25,0,479503.194146858,37774.7581297248,29687.5047606915,5325.54432083951,1313.35207041104,NA,1448.35697778278,34490.5073071604,2370603.43958521,1770789.92976538,141210.174770824,133980.234205409,324623.100843592,25,0
"124","Collomia rawsoniana","Precluded",1996,"Rawson's flaming trumpet","Flowering Plants","8","US","P",1,0,0,0,0,0,1,"Habitat modification","0","06091, 06067, 06083, 06009, 06111, 06037, 06097, 06031, 06073, 06061, 06075, 06041, 06043, 06035, 06055, 06089, 06053, 06105, 06045, 06027, 06051, 06109, 06095, 06071, 06013, 06003, 06017, 06113, 06115, 06069, 06023, 06065, 06029, 06011, 06015, 06049, 06019, 06039, 06085, 06103, 06077, 06001, 06057, 06007, 06047, 06107, 06099, 06059, 06025, 06101, 06005, 06033, 06063, 06081, 06093, 06087, 06021, 06079",403483182192,6.87818320506527,6.92825474165851,0.833865120669248,0.934089462945004,0.275778180683196,0.391117393760385,0.0420245812942396,0.042311599246627,1.19353011091112,1.29585722238258,0.416760226980969,0.430256180688384,2.390569719457,2.10896761884728,-0.0500715365932463,-0.100224342275756,-0.000287017952387419,-0.102327111471461,-0.0134959537074146,0.281602100609723,0,6175.77365978073,25,0,479503.194146858,37774.7581297248,29687.5047606915,5325.54432083951,1313.35207041104,NA,1448.35697778278,34490.5073071604,2370603.43958521,1770789.92976538,141210.174770824,133980.234205409,324623.100843592,25,0
"171","Cymopterus deserticola","Precluded",1996,"Desert cymopterus","Flowering Plants","8","US","P",1,0,0,1,0,0,2,"Habitat modification, species-species interaction","0","06091, 06067, 06083, 06009, 06111, 06037, 06097, 06031, 06073, 06061, 06075, 06041, 06043, 06035, 06055, 06089, 06053, 06105, 06045, 06027, 06051, 06109, 06095, 06071, 06013, 06003, 06017, 06113, 06115, 06069, 06023, 06065, 06029, 06011, 06015, 06049, 06019, 06039, 06085, 06103, 06077, 06001, 06057, 06007, 06047, 06107, 06099, 06059, 06025, 06101, 06005, 06033, 06063, 06081, 06093, 06087, 06021, 06079",403483182192,6.87818320506527,6.92825474165851,0.833865120669248,0.934089462945004,0.275778180683196,0.391117393760385,0.0420245812942396,0.042311599246627,1.19353011091112,1.29585722238258,0.416760226980969,0.430256180688384,2.390569719457,2.10896761884728,-0.0500715365932463,-0.100224342275756,-0.000287017952387419,-0.102327111471461,-0.0134959537074146,0.281602100609723,0,6175.77365978073,25,0,479503.194146858,37774.7581297248,29687.5047606915,5325.54432083951,1313.35207041104,NA,1448.35697778278,34490.5073071604,2370603.43958521,1770789.92976538,141210.174770824,133980.234205409,324623.100843592,25,0
"191","Dalea tentaculoides","Precluded",1998,"Gentry's indigobush","Flowering Plants","2","US","P",1,0,0,1,1,0,3,"none","1","04027, 04021, 04017, 04011, 04013, 04019, 04003, 04005, 04007, 04009, 04015, 04025, 04012, 04023, 04001",294198661567,4.96721873795012,4.36645279612265,0.34712703491856,0.290054669082652,0.120722412049691,0.0398898975583103,0.027556162164537,0.0284791851818422,0.492965442328184,0.403393099323273,1.47810845513646,1.49705283522461,1.30016562569803,0.907009501316199,0.600765941827472,0.0570723658359079,-0.000923023017305173,0.089572343004911,-0.0189443800881557,0.39315612438183,0,1818.67261952304,13,0,279241.003982675,25918.5709511484,22729.5812519854,886.9953227788,952.102214403131,NA,1349.89216198108,28874.7543864293,1399860.78865903,1250225.19119675,19365.4239236323,76693.2969773581,53576.8765612934,13,0
"198","Delphinium variegatum thornei","Precluded",1996,"Thorne's royal larkspur","Flowering Plants","8","US","P",0,0,0,1,0,0,1,"Species-Species interaction","0","06091, 06067, 06083, 06009, 06111, 06037, 06097, 06031, 06073, 06061, 06075, 06041, 06043, 06035, 06055, 06089, 06053, 06105, 06045, 06027, 06051, 06109, 06095, 06071, 06013, 06003, 06017, 06113, 06115, 06069, 06023, 06065, 06029, 06011, 06015, 06049, 06019, 06039, 06085, 06103, 06077, 06001, 06057, 06007, 06047, 06107, 06099, 06059, 06025, 06101, 06005, 06033, 06063, 06081, 06093, 06087, 06021, 06079",403483182192,6.87818320506527,6.92825474165851,0.833865120669248,0.934089462945004,0.275778180683196,0.391117393760385,0.0420245812942396,0.042311599246627,1.19353011091112,1.29585722238258,0.416760226980969,0.430256180688384,2.390569719457,2.10896761884728,-0.0500715365932463,-0.100224342275756,-0.000287017952387419,-0.102327111471461,-0.0134959537074146,0.281602100609723,0,6175.77365978073,25,0,479503.194146858,37774.7581297248,29687.5047606915,5325.54432083951,1313.35207041104,NA,1448.35697778278,34490.5073071604,2370603.43958521,1770789.92976538,141210.174770824,133980.234205409,324623.100843592,25,0
"208","Downingia concolor brevior","Precluded",1997,"Cuyamac Lake downingia","Flowering Plants","8","US","P",1,0,1,1,0,0,3,"Habitat modification, pollution and species-species interaction","1","06091, 06067, 06083, 06009, 06111, 06037, 06097, 06031, 06073, 06061, 06075, 06041, 06043, 06035, 06055, 06089, 06053, 06105, 06045, 06027, 06051, 06109, 06095, 06071, 06013, 06003, 06017, 06113, 06115, 06069, 06023, 06065, 06029, 06011, 06015, 06049, 06019, 06039, 06085, 06103, 06077, 06001, 06057, 06007, 06047, 06107, 06099, 06059, 06025, 06101, 06005, 06033, 06063, 06081, 06093, 06087, 06021, 06079",403483182192,6.87818320506527,6.92825474165851,0.833865120669248,0.934089462945004,0.275778180683196,0.391117393760385,0.0420245812942396,0.042311599246627,1.19353011091112,1.29585722238258,0.416760226980969,0.430256180688384,2.390569719457,2.10896761884728,-0.0500715365932463,-0.100224342275756,-0.000287017952387419,-0.102327111471461,-0.0134959537074146,0.281602100609723,0,6175.77365978073,25,0,479503.194146858,37774.7581297248,29687.5047606915,5325.54432083951,1313.35207041104,NA,1448.35697778278,34490.5073071604,2370603.43958521,1770789.92976538,141210.174770824,133980.234205409,324623.100843592,25,0
"233","Dudleya blochmaniae brevifolia","Precluded",1996,"Short-leaved dudleya","Flowering Plants","8","US","P",1,0,0,0,0,0,1,"Habitat modification","1","06091, 06067, 06083, 06009, 06111, 06037, 06097, 06031, 06073, 06061, 06075, 06041, 06043, 06035, 06055, 06089, 06053, 06105, 06045, 06027, 06051, 06109, 06095, 06071, 06013, 06003, 06017, 06113, 06115, 06069, 06023, 06065, 06029, 06011, 06015, 06049, 06019, 06039, 06085, 06103, 06077, 06001, 06057, 06007, 06047, 06107, 06099, 06059, 06025, 06101, 06005, 06033, 06063, 06081, 06093, 06087, 06021, 06079",403483182192,6.87818320506527,6.92825474165851,0.833865120669248,0.934089462945004,0.275778180683196,0.391117393760385,0.0420245812942396,0.042311599246627,1.19353011091112,1.29585722238258,0.416760226980969,0.430256180688384,2.390569719457,2.10896761884728,-0.0500715365932463,-0.100224342275756,-0.000287017952387419,-0.102327111471461,-0.0134959537074146,0.281602100609723,0,6175.77365978073,25,0,479503.194146858,37774.7581297248,29687.5047606915,5325.54432083951,1313.35207041104,NA,1448.35697778278,34490.5073071604,2370603.43958521,1770789.92976538,141210.174770824,133980.234205409,324623.100843592,25,0
"234","Dudleya blochmaniae insularis","Precluded",1997,"Santa Rosa Island dudleya","Flowering Plants","8","US","P",1,0,0,0,1,0,2,"Habitat modification and Environmental Stochasticity","1","06091, 06067, 06083, 06009, 06111, 06037, 06097, 06031, 06073, 06061, 06075, 06041, 06043, 06035, 06055, 06089, 06053, 06105, 06045, 06027, 06051, 06109, 06095, 06071, 06013, 06003, 06017, 06113, 06115, 06069, 06023, 06065, 06029, 06011, 06015, 06049, 06019, 06039, 06085, 06103, 06077, 06001, 06057, 06007, 06047, 06107, 06099, 06059, 06025, 06101, 06005, 06033, 06063, 06081, 06093, 06087, 06021, 06079",403483182192,6.87818320506527,6.92825474165851,0.833865120669248,0.934089462945004,0.275778180683196,0.391117393760385,0.0420245812942396,0.042311599246627,1.19353011091112,1.29585722238258,0.416760226980969,0.430256180688384,2.390569719457,2.10896761884728,-0.0500715365932463,-0.100224342275756,-0.000287017952387419,-0.102327111471461,-0.0134959537074146,0.281602100609723,0,6175.77365978073,25,0,479503.194146858,37774.7581297248,29687.5047606915,5325.54432083951,1313.35207041104,NA,1448.35697778278,34490.5073071604,2370603.43958521,1770789.92976538,141210.174770824,133980.234205409,324623.100843592,25,0
"238","Dudleya sp.","Precluded",1997,"Sp. nov. ined. (munchkin) dudleya","Flowering Plants","8","US","P",1,0,0,0,1,0,2,"Habitat modification and Environmental Stochasticity","1","06091, 06067, 06083, 06009, 06111, 06037, 06097, 06031, 06073, 06061, 06075, 06041, 06043, 06035, 06055, 06089, 06053, 06105, 06045, 06027, 06051, 06109, 06095, 06071, 06013, 06003, 06017, 06113, 06115, 06069, 06023, 06065, 06029, 06011, 06015, 06049, 06019, 06039, 06085, 06103, 06077, 06001, 06057, 06007, 06047, 06107, 06099, 06059, 06025, 06101, 06005, 06033, 06063, 06081, 06093, 06087, 06021, 06079",403483182192,6.87818320506527,6.92825474165851,0.833865120669248,0.934089462945004,0.275778180683196,0.391117393760385,0.0420245812942396,0.042311599246627,1.19353011091112,1.29585722238258,0.416760226980969,0.430256180688384,2.390569719457,2.10896761884728,-0.0500715365932463,-0.100224342275756,-0.000287017952387419,-0.102327111471461,-0.0134959537074146,0.281602100609723,0,6175.77365978073,25,0,479503.194146858,37774.7581297248,29687.5047606915,5325.54432083951,1313.35207041104,NA,1448.35697778278,34490.5073071604,2370603.43958521,1770789.92976538,141210.174770824,133980.234205409,324623.100843592,25,0
