,X,scientific_name,common_name,new_notes_on_changes_being_made,conservation_plan_1,conservation_plan_2,conservation_plan_3,sum_part,all_partner_names,coop,total,year_listed_or_precluded,Federal.Listing.Status.x.x.x,Year.listed.x.x,Species.Group.x.x,Regions.of.Occurrence.x.x,U.S..or.Foreign.Listed.x.x,Vertebrate.invertebrate.plant.x.x,hab.x.x,over.x.x,poll.x.x,spsp.x.x,env.x.x,demo.x.x,total.x.x,threats.addressed.by.conservation.x.x,threats.addressed.by.regulation..1...yes..0...no..x.x,n_counties.x,countynames.x,counties_fips_final.x,area.x,area_weighted_footprint_2009,area_weighted_footprint_1993,area_weighted_built2009,area_weighted_built1994,area_weighted_crops2005,area_weighted_crops1992,area_weighted_navwater2009,area_weighted_navwater1994,area_weighted_lights2009,area_weighted_lights1994,area_weighted_pasture2009,area_weighted_pasture1993,area_weighted_pop2010,area_weighted_pop1990,change_footprint_area_weighted,change_built_area_weighted,change_navwater_area_weighted,change_lights_area_weighted,change_pasture_area_weighted,change_population_area_weighted,landvalue,totalemployment,employmentsumrelevant,employmentconstruction,employmentforest,employmentmining,employmentfarm,percapitaincome,incomerelevant,incomeconstruct,incomeforest,incomemining,incomefarm,percentpublic,percentprivate,percentfederal
11,5,Cimicifuga arizonica,ARIZONA BUGBANE,NA,CCA,NA,NA,2_NA_NA,"USFS, USFWS",0,2,10/25/1999,Precluded,1999,Flowering Plants,2,US,P,1,0,0,0,0,0,1,Habitat modification,1,2,"Coconino, Gila","04005, 04007",60545327618,3.497092038,3.097509903,0.063347169,0.072535191,0.02067446,0.009293587,0.054849844,0.05496132,0.114104808,0.115010981,1.447522878,1.449378653,0.338281775,0.338281775,0.399582135,-0.009188022,-0.000111476,-0.000906173,-0.001855775,0.338281775,234.2470656,67487.63399,6132.342895,4281.189277,188.2216611,321.7230717,1341.208886,32688.9076,207650.8334,176130.0516,1552.811768,15685.51027,14282.45983,0.594495773,0,0.450546049
12,33,Clarkia lingulata,MERCED CLARKIA,NA,HCP,NA,NA,NA_NA_NA,"USFS, BLM, California Department of Transportation (caltrans), California Department of Fish and Wildlife, Pacific Gas and Electric",0,5,9/19/1997,Precluded,1997,Flowering Plants,8,US,P,1,0,0,0,1,0,2,Unspecified,0,1,Mariposa,6043,3752472156,4.865432075,4.517800498,0,0.036842105,0.460526316,0,0,0,0.031315789,0.112894737,0.484210526,0.642368421,1.868947368,1.868947368,0.347631577,-0.036842105,0,-0.081578947,-0.158157895,1.868947368,1649,8190,NA,624,NA,NA,272,33493,NA,27261,NA,NA,-220,0.541734336,0,0.529741465
13,23,Dalea tentaculoides,GENTRY'S INDIGOBUSH,NA,None,NA,NA,2?_NA_NA,"USFWS, Tohono Oodham Nation",0,2,4/2/1998,Precluded,1998,Flowering Plants,2,US,P,1,0,0,1,1,0,3,none,1,1,Santa Cruz,4023,3203613249,6.669126228,5.815521218,0.376175549,0.310344828,0.057053292,0,0,0,0.594984326,0.44984326,1.35799373,1.381191223,1.832601881,1.832601881,0.853605009,0.065830721,0,0.145141066,-0.023197492,1.832601881,2291,20029,NA,1033,NA,NA,158,27213,NA,34570,NA,NA,-2050,0.67773197,0,0.571624041
14,18,Downingia concolor brevior,CUYAMAC LAKE DOWNINGIA,NA,CCA,NA,NA,1_NA_NA,California Department of Fish and Wildlife Natural Heritage Division Endangered plant program,0,1,2/6/1997,Precluded,1997,Flowering Plants,8,US,P,1,0,1,1,0,0,3,"Habitat modification, pollution and species-species interaction",1,1,San Diego,6073,10898787530,12.34198445,11.9195158,2.525904381,2.516815125,0.048354845,0,0.043420404,0.043420404,3.078712961,2.980367206,0.14388293,0.144973641,4.089892747,4.089892747,0.422468641,0.009089256,0,0.098345755,-0.001090711,4.089892747,19247,1890307,127435,116212,2964,2507,5752,44824,8500758,7991002,73029,35186,401541,0.478012377,0.001825192,0.173610681
15,41,Dudleya blochmaniae brevifolia,SHORT-LEAVED DUDLEYA,New information added - doc three only Partner counts only no actions,HCP,NA,NA,"(note combines two areas and this species is only in the one, unsure how to count) --> doc is in wrong year anyway_? Use which doc??_3","California Department of Fish and Game, San Diego Gas and Electric Company, USFWS","USFS, Nevada Department of Wildlife",3,10/7/1996,Precluded,1996,Flowering Plants,8,US,P,1,0,0,0,0,0,1,Habitat modification,1,1,San Diego,6073,10898787530,12.34198445,11.9195158,2.525904381,2.516815125,0.048354845,0,0.043420404,0.043420404,3.078712961,2.980367206,0.14388293,0.144973641,4.089892747,4.089892747,0.422468641,0.009089256,0,0.098345755,-0.001090711,4.089892747,19247,1890307,127435,116212,2964,2507,5752,44824,8500758,7991002,73029,35186,401541,0.478012377,0.001825192,0.173610681
16,7,Erigeron basalticus,BASALT DAISY,NA,None,NA,NA,2_NA_NA,"Rare Care, NPS,NA,NA",0,4,12/6/2007,Precluded,2007,Flowering Plants,1,US,P,0,0,0,0,0,0,0,none,0,2,"Kittitas, Yakima","53037, 53077",17072734324,5.840171321,6.346187523,0.297460088,0.439644656,0.04125698,0.808582019,0.091191863,0.091191863,0.630706644,0.823984317,1.144819754,1.003041621,1.668823301,1.668823301,-0.506016201,-0.142184567,0,-0.193277673,0.141778133,1.668823301,2358.750974,84426.86825,11270.22196,4240.360114,4549.882961,62.54477325,2417.434115,30000.07563,695741.6758,201410.4012,135624.5577,570.4932552,358136.2236,0.421485328,5.61E-06,0.256051624
17,40,Euphydryas anicia cloudcrofti,SACRAMENTO MOUNTAINS CHECKERSPOT BUTTERFLY,NA,CCA,NA,NA,4_5_NA,"Otero County, USFS, USFWS, Village of Cloudcroft",0,4,9/2/2009,Precluded,2009,Insects,2,US,I,1,1,1,1,1,0,5,"Habitat modification, overutilization,  species-species interaction",0,1,Otero,35035,17126453574,4.149268984,4.015281298,0.105122546,0.105122546,0.005285167,0,0,0,0.207921942,0.186723197,2.262399814,2.262690208,0.549657335,0.549657335,0.133987686,0,0,0.021198745,-0.000290394,0.549657335,322,28201,2541,1859,208,49,425,26393,81739,63580,2918,911,14330,0.666593533,0,0.656345075
18,11,Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,NA,CCA,NA,NA,4_NA_NA,"Mississippi Army National Guard, USFS, Mississippi Department of Wildlife Fisheries and Parks, USFWS",0,4,5/11/2005,Precluded,2005,Crustaceans,4,US,I,1,0,0,0,0,0,1,Habitat modification,1,1,Perry,28111,1676259638,6.518195031,6.788017521,0.136094675,0.272189349,0,0.240236686,0.243039761,0.243039761,0.537869822,0.49704142,0,0,2.476923077,2.476923077,-0.26982249,-0.136094675,0,0.040828402,0,2.476923077,2444,3876,737,237,183,10,307,24395,15755,6430,5439,65,3821,0.422765379,0,0.397715524
19,17,Gila bicolor vaccaceps,COW HEAD TUI CHUB,NA,CCA,NA,NA,8+_NA_NA,"private landowners of Cow Head Lake Cow Head Slough and California reach of Barrel Creek (four owners, all CA signatories), principal permittees on BLM lands within the drainage, California and Modoc County Cattlemen's Associations, the California Farm Bureau Federation, BLM, California Department of Fish and Game",0,7,10/11/2006,Precluded,2006,Fishes,8,US,V,1,0,0,1,0,0,2,Habitat modification and species-species interaction,1,2,"Modoc, Washoe","06049, 32031",26464059457,4.121739373,3.518652498,0.274539686,0.252903439,0.025584701,0.033397782,0,0,0.371050997,0.367370022,1.116340026,1.118718401,0.379532615,0.379532615,0.603086875,0.021636246,0,0.003680975,-0.002378375,0.379532615,1048.209503,176702.6215,16580.80314,15153.68936,257.3626369,800.7224329,369.0287134,39698.85814,1094057.592,1033665.741,3697.631708,43287.02059,13407.19828,0.781364857,0,0.774809172
20,36,Hazardia orcuttii,ORCUTTS'S HAZARDIA,NA,HCP,NA,NA,4_4_NA,"City of NCCP, USFWS, California Department of Fish and Game, California Resources Agency",0,4,11/22/2013,Precluded,2013,Flowering Plants,8,US/Foreign,P,1,0,0,1,0,1,3,Habitat modification and demographic stochasticity,0,1,San Diego,6073,10898787530,12.34198445,11.9195158,2.525904381,2.516815125,0.048354845,0,0.043420404,0.043420404,3.078712961,2.980367206,0.14388293,0.144973641,4.089892747,4.089892747,0.422468641,0.009089256,0,0.098345755,-0.001090711,4.089892747,19247,1890307,127435,116212,2964,2507,5752,44824,8500758,7991002,73029,35186,401541,0.478012377,0.001825192,0.173610681
21,28,Horkelia hendersonii,HENDERSON'S HORKELIA,NA,CCA,NA,NA,2+_NA_NA,"USFS, USFWS",0,2,2/7/2003,Precluded,2003,Flowering Plants,"1, 8",US,P,0,0,0,0,0,0,0,generic threats/impacts  - see notes section,1,2,"Siskiyou, Jackson","06093, 41029",23470433277,3.520195049,4.137875378,0.149997227,0.208179401,0.013818796,0.695652851,0.103025383,0.103025383,0.265997506,0.346653473,0.178056959,0.126313136,1.383781265,1.383781265,-0.617680329,-0.058182174,0,-0.080655967,0.051743823,1.383781265,3527.432136,52256.84636,7722.823343,3816.10881,2489,325,1092.714533,31607.27821,283118.2297,154813.7934,94100,8745,25459.43623,0.666944565,1.62E-05,0.656321338
22,30,Iotichthys phlegethontis,LEAST CHUB,NA,CCA,NA,NA,8_NA_NA,"Utah Department of Natural Resources,  BLM, Bureau of Reclamation, Utah Reclamation Mitigation and Conservation Commission, Confederated Tribes of the Goshute Reservation, Central Utah Water Conservancy District, Southern Nevada Water Authority",0,7,8/26/2014,Precluded,2014,Fishes,6,US,V,1,0,0,1,1,1,4,"Habitat modification, species-species interaction, demographic stochasticity",1,9,"Davis, Box Elder, Utah, Weber, Millard, Cache, Tooele, Juab, Salt Lake","49011, 49003, 49049, 49057, 49027, 49005, 49045, 49023, 49035",71146688929,5.007732361,4.418278388,0.522412077,0.481814671,0.338925059,0.07064308,0,0,0.766937505,0.678683308,1.098439602,1.140322808,0.722222491,0.722222491,0.589453974,0.040597406,0,0.088254196,-0.041883207,0.722222491,1730.051915,60078.78368,5854.058833,4697.296877,238.04767,238.6118399,680.1024462,27553.41918,232703.8625,199918.593,3500.632536,8028.315328,21256.32171,0.688740588,1.10E-06,0.592226249
23,43,Lepidium papilliferum,SLICKSPOT PEPPERGRASS,NA,NA,NA,NA,6_8_NA,"Office of Species Conservation,  Idaho Department of Fish and Game,  Idaho Department of Lands,  Idaho Army National Guard,  Nongovernmental Cooperator Representative,  Nongovernmental Cooperator Representative, BLM, US Air Force",0,8,9/16/2016,Listed,2016,Flowering Plants,1,US,P,1,1,0,1,0,1,4,NA,NA,8,"Elmore, Ada, Boise, Owyhee, Payette, Twin Falls, Canyon, Gem","16039, 16001, 16015, 16073, 16075, 16083, 16027, 16045",44470786293,5.645867033,5.29020744,0.334161508,0.340970376,0.664820444,0.397311608,0.119215967,0.119215967,0.548616068,0.568893107,1.90858739,1.979181747,0.84051027,0.84051027,0.355659593,-0.006808867,0,-0.020277039,-0.070594356,0.84051027,1907.660888,30580.29527,3771.98188,2431.751584,555.0417812,161.7827477,623.4057675,28549.57078,206517.4442,104558.2304,15103.19713,22179.19934,64676.81731,0.803458444,0,0.787187935
24,38,Lithobates onca,RELICT LEOPARD FROG,NA,HCP,CCA,assuran,2+?_NA_NA,"USFWS,  Nevada Department of Wildlife",0,2,10/6/2016,Precluded,2016,Amphibians,"2, 8",US,V,1,0,0,1,1,1,4,"Habitat modification, demographic stochasticity, species-species interaction, environmental stochasticity, generic threats",1,2,"Mohave, Clark","04015, 32003",54914785414,5.877997066,5.231076126,0.454338402,0.395605127,0.04418433,0.010954389,0.076953064,0.081775131,0.63610519,0.554182453,2.449160359,2.468416958,0.686807929,0.686807929,0.64692094,0.058733275,-0.004822067,0.081922737,-0.019256599,0.686807929,1485.194924,483883.3235,50093.31306,48617.7575,311,909.5245497,255.0310044,30513.51074,3034994.855,3040782.702,924,-11693.86362,4982.016915,0.852512706,0,0.850189299
25,6,Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,NA,CCA,NA,NA,2_NA_NA,"USFS, USFWS",0,2,2/7/2003,Precluded,2003,Flowering Plants,1,US,P,0,0,0,0,0,0,0,generic threats/impacts  - see notes section,1,1,Jackson,41029,7208499985,5.537117909,5.963033636,0.424125585,0.531534013,0.001927844,0.501239328,0.052862287,0.052862287,0.664279813,0.775957037,0.409942165,0.30886808,2.313687689,2.313687689,-0.425915727,-0.107408427,0,-0.111677224,0.101074084,2.313687689,5843,119400,13924,9190,2489,325,1920,33733,505728,384610,94100,8745,18273,0.720360231,5.28E-05,0.711679383
26,42,Moxostoma sp 2,SICKLEFIN REDHORSE,NA,NA,NA,NA,6??_NA_NA,"North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, Georgia Department of Natural Resources, USFWS",0,6,Under review/Under review/Under review,Precluded,2016,Fishes,4,US,V,1,0,0,1,0,1,3,"Habitat modification, demographic stochasticity (spawning sites)",1,4,"Macon, Swain, Cherokee, Towns","37113, 37173, 37039, 13281",4312882784,7.353041336,7.022703336,0.293600409,0.430097524,0,0,0.054964879,0.054964879,0.867178941,0.903518021,0.000461431,0.000461431,3.167687932,3.167687932,0.330338001,-0.136497115,0,-0.03633908,0,3.167687932,7126.994914,12285.9556,1947.446981,1700.054005,37.95343449,16.93015173,192.5093896,27314.44121,57090.42088,54228.91719,508.9895171,65.03376563,2287.480407,0.515980772,0,0.502563672
27,15,Nerodia erythrogaster neglecta,COPPERBELLY WATER SNAKE,what's happening here???? doc 2 wrong year but information not incorporated in original count information,CCA,NA,NA,9_3_NA,"Illinois Department of Natural Resources, Indiana Department of Natural Resources, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association, USFWS",0,9,1/29/1997,Listed,1997,Reptiles,3,US,V,1,1,0,1,1,1,5,NA,NA,11,"Kosciusko, St. Joseph, St. Joseph, Hillsdale, Defiance, Steuben, Hardin, Cass, Calhoun, Williams, Branch","18085, 18141, 26149, 26059, 39039, 18151, 39065, 26027, 26025, 39171, 26023",13992159747,16.82738884,18.08778041,1.79279832,1.417882545,1.77576842,4.784541527,0.033727433,0.033727433,4.041053059,2.822812947,0,0,4.570930111,4.570930111,-1.260391569,0.374915776,0,1.218240112,0,4.570930111,3288.060929,41887.59117,3131.375297,2019.552714,110.5297753,39.9487411,961.3440664,29541.44595,105986.114,82915.30681,1686.528054,986.9246411,20397.35449,0.016980333,0.001886681,0.003839576
28,51,Nysius wekiuicola,WEKIU BUG,Have added information,None,NA,NA,1_NA_NA,University of Hawaii,0,1,10/26/2011,Precluded,2011,Insects,1,US,I,1,0,0,0,0,0,1,Habitat modification,0,1,Hawaii,15001,10433637860,4.988925487,4.834706558,0.082668187,0.160585329,0.013968073,0,0.207236502,0.207236502,0.230425694,0.302451539,0,0,2.226244774,2.226244774,0.154218928,-0.077917142,0,-0.072025846,0,2.226244774,6956,103435,NA,NA,NA,NA,3847,31420,NA,NA,NA,NA,73238,NA,NA,NA
29,39,Oncorhynchus clarkii virginalis,RIO GRANDE CUTTHROAT TROUT,NA,None,NA,NA,4_10_NA,"Colorado Parks and Wildlife, New Mexico Department of Game and Fish, USFS, USFWS, Mescalero Apache Nation, Jicarilla Apache Nation, Taos Pueblo, NPS, BLM,  Trout Unlimited, Vermejo Park Ranch, Colorado Division of Parks and Wildlife",0,12,10/1/2014,Precluded,2014,Fishes,"2, 6",US,V,1,0,0,1,1,1,4,"Habitat modification, species-species interaction, demographic stochasticity and environmental stochasticity",1,20,"San Juan, Santa Fe, Rio Arriba, Hinsdale, Taos, Costilla, Conejos, Saguache, San Miguel, Otero, Archuleta, Alamosa, Rio Grande, Mora, Lincoln, Colfax, Sierra, Sandoval, Los Alamos, Mineral","08111, 35049, 35039, 08053, 35055, 08023, 08021, 08109, 35047, 35035, 08007, 08003, 08105, 35033, 35027, 35007, 35051, 35043, 35028, 08079",1.31757E+11,4.147972081,3.897590503,0.093561127,0.10224667,0.077110046,0.030541671,0,0,0.178929277,0.179761744,1.613087609,1.617281868,0.63747826,0.63747826,0.250381578,-0.008685543,0,-0.000832467,-0.004194259,0.63747826,767.1319555,17596.13394,2095.21582,1342.531242,156.0137907,132.4568775,464.2139099,28138.68213,62649.20523,46733.96857,1900.113788,4759.903886,9255.218986,0.536300328,0.028187119,0.499020195
30,20,Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT,NA,**,NA,NA,3_NA_NA,"California Department of Fish and Wildlife, USFS, USFWS",0,3,7/6/2016,Precluded,2016,Fishes,8,US,V,1,0,0,1,1,0,3,"Habitat modification, demographic stochasticity, enviornmental stochasticity",1,1,Lassen,6035,11761615611,3.479985235,3.396754302,0.090931433,0.08192021,0.016629803,0.025231425,0,0,0.17588269,0.184648153,0.839600229,0.841730155,0.676497092,0.676497092,0.083230933,0.009011223,0,-0.008765462,-0.002129925,0.676497092,1383,13455,NA,547,NA,NA,399,25156,NA,21456,NA,NA,19836,0.716067005,0,NA
31,32,Oncorhynchus mykiss ssp.,MCCLOUD RIVER REDBAND TROUT,NA,CCA,NA,NA,8_NA_NA,"USFWS,  USFS,  California Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors",0,8,10/25/1999,Precluded,1999,Fishes,1,US,V,1,0,0,0,0,0,1,Habitat modification,1,2,"Shasta, Siskiyou","06089, 06093",26040163386,3.457162882,3.866240931,0.127253426,0.188085257,0.024340156,0.54664363,0.078225031,0.078225031,0.235950712,0.323255231,0.156394925,0.125733423,1.266710597,1.266710597,-0.40907805,-0.06083183,0,-0.08730452,0.030661501,1.266710597,2747.707253,49525.9052,5820.297243,3647.230667,969,243,961.0665757,31545.9364,239852.4227,174871.3211,32091,12059,20831.10164,0.643372524,0,0.631892136
32,9,Opuntia X multigeniculata,BLUE DIAMOND CHOLLA,NA,HCP,NA,NA,7_NA_NA,BLM,0,1,10/30/2001,Precluded,2001,Flowering Plants,8,US,P,0,0,0,0,0,0,0,Unspecified,NA,2,"Mohave, Clark","04015, 32003",54914785414,5.877997066,5.231076126,0.454338402,0.395605127,0.04418433,0.010954389,0.076953064,0.081775131,0.63610519,0.554182453,2.449160359,2.468416958,0.686807929,0.686807929,0.64692094,0.058733275,-0.004822067,0.081922737,-0.019256599,0.686807929,1485.194924,483883.3235,50093.31306,48617.7575,311,909.5245497,255.0310044,30513.51074,3034994.855,3040782.702,924,-11693.86362,4982.016915,0.852512706,0,0.850189299
33,29,Pediocactus paradinei,KAIBAB PLAINS CACTUS,revised doc???,CCA,NA,NA,3_NA_NA,"USFS, BLM, USFWS",0,3,4/2/1998,Precluded,1998,Flowering Plants,2,US,P,1,1,0,1,0,0,3,"Habitat modification, species-species interactions",0,1,Coconino,4005,48222181220,3.304544682,2.873414798,0.049284448,0.055058358,0.013857384,0.000144348,0.068866685,0.069006649,0.087454118,0.090341073,1.47282138,1.475069081,0.171402648,0.171402648,0.431129883,-0.00577391,-0.000139964,-0.002886955,-0.002247701,0.171402648,197,79194,6930,4915,210,188,1617,33857,229189,204356,1886,5030,17917,NA,0,0.41445332
