"","Var1","V2","Species"
"186","Mississippi Army National Guard",11,"Fallicambarus gordoni"
"187","USFS DeSoto National Forest",11,"Fallicambarus gordoni"
"188","Mississippi Department of Wildlife Fisheries and Parks",11,"Fallicambarus gordoni"
"189","USFWS Southeast Region",11,"Fallicambarus gordoni"
"190","USFS Minidoka Ranger District",12,"Castilleja christii"
"191","USFS Sawtooth National Forest",12,"Castilleja christii"
"192","USFWS Snake River Fish and Wildlife office",12,"Castilleja christii"
"193","Nevada Division of State Parks",13,"Astragalus oophorus clokeyanus, Rorippa subumbellata"
"194","Nevada Natural Heritage Program",13,"Pyrgulopsis notidicola, Rorippa subumbellata"
"195","California Department of Fish and Wildlife",13,"Clarkia lingulata, Chorizanthe parryi var fernandina, Rorippa subumbellata"
"196","California State Lands Commission",13,"Rorippa subumbellata"
"197","California Tahoe Conservancy",13,"Rorippa subumbellata"
"198","League to Save Lake Tahoe",13,"Rorippa subumbellata"
"199","Nevada Division of Forestry",13,"Rorippa subumbellata"
"200","Nevada Division of State Lands",13,"Rorippa subumbellata"
"201","Tahoe Lakefront Owners's Association",13,"Rorippa subumbellata"
"202","Tahoe Regional Planning Agency",13,"Rorippa subumbellata"
"203","Utah Division of Parks and Recreation",14,"Cicindela albissima"
"204","BLM Utah State office",14,"Cicindela albissima"
"205","USFWS Utah Field Office",14,"Cicindela albissima, Aliciella caespitosa"
"206","USFS Fishlake National Forest",14,"Aliciella caespitosa"
"207","BLM Utah State Office",14,"Aliciella caespitosa"
"208","BLM Richfield Field Office",14,"Aliciella caespitosa"
"209","BLM Price Field Office",14,"Aliciella caespitosa"
"210","Kane County",14,"Cicindela albissima"
"211","NPS Capitol Reef National Park",14,"Aliciella caespitosa"
"212","California Department of Fish and Wildlife Natural Heritage Division Endangered plant program",15,"Downingia concolor brevior"
"213","Department of Biology San Diego State University",15,"Downingia concolor brevior"
"214","California Department of Fish and Wildlife Northern region",16,"Oncorhynchus mykiss aquilarum"
"215","USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest",16,"Oncorhynchus mykiss aquilarum"
"216","USFWS Pacific Southwest Region Sacramento Office",16,"Oncorhynchus mykiss aquilarum"
"217","Uintah County",17,"Penstemon grahamii, Penstemon scariosus albifluvis"
"218","Rio Blanco County",17,"Penstemon grahamii, Penstemon scariosus albifluvis"
"219","Utah School and Institutional Trust Lands Administration",17,"Penstemon grahamii, Penstemon scariosus albifluvis"
"220","Utah Governors Public Lands Policy Coordination Office",17,"Penstemon grahamii, Penstemon scariosus albifluvis"
"221","Utah Division of Wildlife Resources",17,"Penstemon grahamii, Penstemon scariosus albifluvis"
"222","BLM Utah",17,"Penstemon grahamii"
"223","BLM Vernal Field Office",17,"Penstemon scariosus albifluvis"
"224","BLM White River Field Office",17,"Penstemon scariosus albifluvis"
"225","USFWS Utah Ecological Services Field Office",17,"Penstemon scariosus albifluvis"
"226","USFWS Western Colorado Field Office",17,"Penstemon scariosus albifluvis"
"227","ESMF funds",17,"Penstemon scariosus albifluvis"
"228","SITLA",17,"Penstemon scariosus albifluvis"
"229","Private entities",17,"Penstemon scariosus albifluvis"
"230","Red Butte Garden Red Leaf Resources Inc",17,"Penstemon scariosus albifluvis"
"231","BLM Colorado",17,"Penstemon grahamii"
"232","Enefit American Oil",17,"Penstemon scariosus albifluvis"
"233","Utah Department of Natural Resources",18,"Iotichthys phlegethontis"
"234","BLM Provo Area Office",18,"Iotichthys phlegethontis"
"235","Bureau of Reclamation Upper Colorado Region",18,"Iotichthys phlegethontis"
"236","Utah Reclamation Mitigation and Conservation Commission",18,"Iotichthys phlegethontis"
"237","Confederated Tribes of the Goshute Reservation",18,"Iotichthys phlegethontis"
"238","Central Utah Water Conservancy District",18,"Iotichthys phlegethontis"
"239","Southern Nevada Water Authority",18,"Iotichthys phlegethontis"
"240","California Department of Transportation (caltrans)",19,"Clarkia lingulata"
"241","Pacific Gas and Electric",19,"Clarkia lingulata"
"242","Desert Research Institute",20,"Pyrgulopsis notidicola, Ambrysus funebris"
"243","Department of Forest and Rangeland Stewardship Colorado State University",20,"Ambrysus funebris"
"244","NPS  Death Valley Office",20,"Ambrysus funebris"
"245","City of NCCP",21,"Hazardia orcuttii"
"246","City of Carlsbad",21,"Hazardia orcuttii"
"247","City of San Marcos",21,"Hazardia orcuttii"
"248","California Resources Agency",21,"Hazardia orcuttii"
"249","Arizona Game and Fish Department",22,"Pyrgulopsis morrisoni, Sonorella macrophallus"
"250","USFWS Region 2",22,"Pyrgulopsis morrisoni"
"251","Arizona Ecological Services Field Office",22,"Pyrgulopsis morrisoni"
"252","unspecified landowners",22,"Pyrgulopsis morrisoni"
"253","Yavapai County",22,"Pyrgulopsis morrisoni"
"254","USFS Coronado National Forest Safford Ranger District",22,"Sonorella macrophallus"
"255","Verde Watershed Association",22,"Pyrgulopsis morrisoni"
"256","USFWS Arizona Ecological Services Field Office",22,"Sonorella macrophallus"
"257","USFWS Southern Nevada Fish and Wildlife Office",23,"Lithobates onca"
"258","cooperator (unspecified landowner)",23,"Lithobates onca"
"259","Otero County",24,"Euphydryas anicia cloudcrofti"
"260","USFWS Ecological Services New Mexico Field Office",24,"Euphydryas anicia cloudcrofti"
"261","USFS Lincoln National Forest",24,"Euphydryas anicia cloudcrofti"
"262","Village of Cloudcroft",24,"Euphydryas anicia cloudcrofti"
"263","USFWS Ventura Fish and Wildlife Office",25,"Chorizanthe parryi var fernandina"
"264","Newhall Land Farming Company",25,"Chorizanthe parryi var fernandina"
"265","North Carolina Wildlife Resources Commission",26,"Moxostoma sp 2"
"266","Duke Energy Carolinas",26,"Moxostoma sp 2"
"267","Eastern Band of Cherokee Indians",26,"Moxostoma sp 2"
"268","Tennessee Valley Authority",26,"Moxostoma sp 2"
"269","Office of Species Conservation",27,"Lepidium papilliferum"
"270","Idaho Department of Fish and Game",27,"Lepidium papilliferum, Urocitellus endemicus"
"271","Idaho Department of Lands",27,"Lepidium papilliferum"
"272","Idaho Army National Guard",27,"Lepidium papilliferum"
"273","Nongovernmental Cooperator Representative",27,"Lepidium papilliferum"
"274","US Air Force",27,"Lepidium papilliferum"
"275","Idaho Governor's Office of Species Conservation",28,"Urocitellus endemicus"
"276","Soulen Livestock Company Inc. (Soulen Livestock)",28,"Urocitellus endemicus"
"277","USFWS Montana Ecological Services Office",29,"Zaitzevia thermae"
"278","USFWS Bozeman Fish Technology center",29,"Zaitzevia thermae"
"279","Montana State University",29,"Zaitzevia thermae"
"280","Montana Fish Wildlife and Parks",29,"Zaitzevia thermae"
"281","EPA",29,"Zaitzevia thermae"
"282","Army Corps of Engineers (COE)",29,"Zaitzevia thermae"
"283","neighboring land owners",29,"Zaitzevia thermae"
"284","University of Hawaii",30,"Nysius wekiuicola"
"285","Group 70 International Inc",30,"Nysius wekiuicola"
"286","Alcoa Power Generating Inc",31,"Solidago plumosa"
"287","USFWS Service Asheville Field Office",31,"Solidago plumosa"
"288","North Carolina Plant Conservation Program",31,"Solidago plumosa"
"289","Southern conservation corporation",32,"Pseudanophthalmus pholeter, Pseudanophthalmus catorycetes"
"290","San Diego Gas and Electric Company",33,"Dudleya blochmaniae brevifolia"
"291","Nevada Division of Wildlife",34,"Potentilla basaltica"
"292","USDA",35,"Calochortus umpquaensis"
