"","Var1","V2","bars_by_foo"
"56","USFS",5,"Castilleja christii, Cimicifuga arizonica, Horkelia hendersonii, Lupinus aridus ssp. ashlandensis, Pediocactus paradinei"
"57","Oregon Natural Heritage Program",5,"Horkelia hendersonii"
"58","Oregon Plant Conservation Program",5,"Horkelia hendersonii"
"59","EDF",6,"Sylvilagus transitionalis"
"60","New Hampshire Fish and Game",6,"Sylvilagus transitionalis"
"61","Maine Department of Inland Fisheries and Wildlife",6,"Sylvilagus transitionalis"
"62","Alcoa Power Generating Inc",7,"Solidago plumosa"
"63","North Carolina Department of Agriculture & Consumer Services Plant Conservation Program",7,"Solidago plumosa"
"64","USFWS Service Asheville Field Office",7,"Solidago plumosa"
"65","Duke Energy Carolinas",8,"Moxostoma"
"66","Eastern Band of Cherokee Indians",8,"Moxostoma"
"67","Georgia Department of Natural Resources",8,"Moxostoma"
"68","North Carolina Wildlife Resources Commission",8,"Moxostoma"
"69","Tennessee Valley Authority",8,"Moxostoma"
"70","DOI Office of Surface MIning reclamation and Enforcement",9,"Nerodia erythrogaster neglecta"
"71","Indiana Coal Council",9,"Nerodia erythrogaster neglecta"
"72","Kentucky Coal Association",9,"Nerodia erythrogaster neglecta"
"73","Kentucky Department of Fish and Wildlife Resources",9,"Nerodia erythrogaster neglecta"
"74","Kentucky Farm Bureau",9,"Nerodia erythrogaster neglecta"
"75","Western Kentucky Coal Association",9,"Nerodia erythrogaster neglecta"
"76","Illinois Department of Natural Resources",9,"Nerodia erythrogaster neglecta"
"77","Indiana Department of Natural Resources",9,"Nerodia erythrogaster neglecta"
"78","Kentucky Natural Resources and Environmental Cabinet",9,"Nerodia erythrogaster neglecta"
"79","Mississippi Army National Guard",10,"Fallicambarus gordoni"
"80","Mississippi National Guard",10,"Fallicambarus gordoni"
"81","USFS DeSoto National Forest",10,"Fallicambarus gordoni"
"82","USFWS Southeast Region",10,"Fallicambarus gordoni"
"83","Mississippi Department of Wildlife & Mississippi Museum of Natural Sciences",10,"Fallicambarus gordoni"
"84","cooperator (unspecified landowner)",11,"Lithobates onca"
"85","Nevada Department of Wildlife",11,"Lithobates onca"
"86","USFWS Southern Nevada Fish and Wildlife Office",11,"Lithobates onca"
"87","366th wing",12,"Lepidium papilliferum"
"88","The Air force",12,"Lepidium papilliferum"
"89","BLM Vernal Field Office",13,"Penstemon scariosus albifluvis"
"90","BLM White River Field Office",13,"Penstemon scariosus albifluvis"
"91","Uintah County",13,"Penstemon scariosus albifluvis"
"92","USFWS Utah Ecological Services Field Office",13,"Penstemon scariosus albifluvis"
"93","USFWS Western Colorado Field Office",13,"Penstemon scariosus albifluvis"
"94","Utah Governor Public Lands Policy Coordination Office",13,"Penstemon scariosus albifluvis"
"95","Utah School and Institutional Trust Lands Administration",13,"Penstemon scariosus albifluvis"
"96","Bob McIntsh (Private landowner)",14,"Oncorhynchus mykiss ssp."
"97","Califonia Department of Fish and Game",14,"Oncorhynchus mykiss ssp."
"98","Hearest Corporation",14,"Oncorhynchus mykiss ssp."
"99","John Hancock Mutual Life Insurace Company",14,"Oncorhynchus mykiss ssp."
"100","Private landowners",14,"Oncorhynchus mykiss ssp."
"101","Private Landowners",14,"Oncorhynchus mykiss ssp."
"102","Sierra Pacific Industries",14,"Oncorhynchus mykiss ssp."
"103","Siskiyou County Board of Supervisors",14,"Oncorhynchus mykiss ssp."
"104","USFS Shasta Trinity National Forest",14,"Oncorhynchus mykiss ssp."
"105","USFWS Sacramento Fish and Wildlife office",14,"Oncorhynchus mykiss ssp."
"106","US Customs and Border Protection",15,"Phacelia stellaris"
"107","US Marine Corps",15,"Phacelia stellaris"
"108","US Navy",15,"Phacelia stellaris"
"109","USFWS Carlsbad Fish and Wildlife Office",15,"Phacelia stellaris"
"110","USFWS Albuquerque New Mexico Ecological Services Field Office",16,"Oncorhynchus clarkii virginalis"
"111","Vermejo Park Ranch",16,"Oncorhynchus clarkii virginalis"
"112","Colorado Division of Parks and Wildlife",16,"Oncorhynchus clarkii virginalis"
"113","Otero County",17,"Euphydryas anicia cloudcrofti"
"114","USFS Lincoln National Forest",17,"Euphydryas anicia cloudcrofti"
"115","USFWS Ecological Services New Mexico Field Office",17,"Euphydryas anicia cloudcrofti"
"116","Village of Cloudcroft",17,"Euphydryas anicia cloudcrofti"
"117","B. Kinsely",18,"Cicindela albissima"
"118","BLM Utah State office",18,"Cicindela albissima"
"119","Coral Pink Sand Dunes State Park",18,"Cicindela albissima"
"120","Kane County",18,"Cicindela albissima"
"121","USFWS Utah Field Office",18,"Cicindela albissima"
"122","Utah Department of Parks and Recreation",18,"Cicindela albissima"
"123","USFS Coronado National Forest Safford Ranger District",19,"Sonorella macrophallus"
"124","USFWS Arizona Ecological Services Field Office",19,"Sonorella macrophallus"
"125","California Department of Fish and Wildlife",20,"Oncorhynchus mykiss aquilarum"
"126","USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest",20,"Oncorhynchus mykiss aquilarum"
"127","USFWS Pacific Southwest Region Sacramento Office",20,"Oncorhynchus mykiss aquilarum"
"128","Idaho Department of Fish and Game",21,"Urocitellus endemicus"
"129","Idaho Governor's Office of Species Conservation",21,"Urocitellus endemicus"
"130","Private landowner",21,"Urocitellus endemicus"
"131","Rare Care",22,"Erigeron basalticus"
