"","Var1","V2","Species"
"103","USFWS",6,"Thymallus arcticus, Astragalus oophorus clokeyanus, Nerodia erythrogaster neglecta, Pyrgulopsis notidicola, Symphyotrichum georgianum, Astragalus anserinus, Penstemon grahamii, Pseudanophthalmus pholeter, Pediocactus paradinei, Pseudanophthalmus catorycetes, Sylvilagus transitionalis, Hazardia orcuttii, Dudleya blochmaniae brevifolia, Moxostoma sp 2, Potentilla basaltica, Urocitellus endemicus, Pseudanophthalmus inexpectatus, Rorippa subumbellata, Calochortus umpquaensis, Urocitellus washingtoni"
"104","NRCS",6,"Thymallus arcticus, Pseudanophthalmus major, Sceloporus arenicolus, Sylvilagus transitionalis, Urocitellus washingtoni"
"105","USGS",6,"Sylvilagus transitionalis, Pyrgulopsis morrisoni, Penstemon scariosus albifluvis"
"106","Mashpee Wampanoag Tribe",6,"Sylvilagus transitionalis"
"107","Lyme Land Conservation Trust",6,"Sylvilagus transitionalis"
"108","American Forest Foundation",6,"Sylvilagus transitionalis"
"109","Woodcock Limited",6,"Sylvilagus transitionalis"
"110","WCS Queens Zoo",6,"Sylvilagus transitionalis"
"111","Wells National Esturarine Research Reserve",6,"Sylvilagus transitionalis"
"112","Roger Williams Park Zoo",6,"Sylvilagus transitionalis"
"113","Audubon Connecticut",6,"Sylvilagus transitionalis"
"114","Connecticut Audubon Society",6,"Sylvilagus transitionalis"
"115","Open Space Institute",6,"Sylvilagus transitionalis"
"116","Audubon New York",6,"Sylvilagus transitionalis"
"117","Quail Forever",6,"Sylvilagus transitionalis"
"118","Pheasants Forever",6,"Sylvilagus transitionalis"
"119","Doris Duke Charitable Foundation",6,"Sylvilagus transitionalis"
"120","Wildlife Conservation Society",6,"Sylvilagus transitionalis"
"121","Amrican Bird Conservancy",6,"Sylvilagus transitionalis"
"122","Quality Deer Management Association",6,"Sylvilagus transitionalis"
"123","Sustainable Forestry Initiative",6,"Sylvilagus transitionalis"
"124","White Memorial Foundation",6,"Sylvilagus transitionalis"
"125","National Fish and Wildlife Foundation",6,"Sylvilagus transitionalis"
"126","Ruffed Grouse Society/American Woodcock Society",6,"Sylvilagus transitionalis"
"127","National Wild Turkey Federation",6,"Sylvilagus transitionalis"
"128","Wildlife Management Institute",6,"Sylvilagus transitionalis"
"129","New Engalnd Cottontail Conservation Initiative",6,"Sylvilagus transitionalis"
"130","Northeast Forest and Fire Management",6,"Sylvilagus transitionalis"
"131","Lyme Timber Company",6,"Sylvilagus transitionalis"
"132","Monterey Preservation Land Trust",6,"Sylvilagus transitionalis"
"133","Narrow River Land Trust",6,"Sylvilagus transitionalis"
"134","Nantucket Conservation Foundation",6,"Sylvilagus transitionalis"
"135","Scarborough Land Trust",6,"Sylvilagus transitionalis"
"136","Avalonia Land Conservancy",6,"Sylvilagus transitionalis"
"137","Orenda Wildlife Land Trust",6,"Sylvilagus transitionalis"
"138","Trustees of Reservations",6,"Sylvilagus transitionalis"
"139","Berkshire Natural Resources Council",6,"Sylvilagus transitionalis"
"140","York Land Trust",6,"Sylvilagus transitionalis"
"141","Becket Land Trust",6,"Sylvilagus transitionalis"
"142","Trust for Public Land",6,"Sylvilagus transitionalis"
"143","Massachusetts National Guard",6,"Sylvilagus transitionalis"
"144","New York Division of Fish Wildlife and Marine Resources",6,"Sylvilagus transitionalis"
"145","Northeast Association of Fish and Wildlife Agencies",6,"Sylvilagus transitionalis"
"146","Rhode Island Division of Fish and Wildlife",6,"Sylvilagus transitionalis"
"147","Connecticute Department of Energy and Environmental Protection",6,"Sylvilagus transitionalis"
"148","Massachusetts Division of Fisheries and Wildlife",6,"Sylvilagus transitionalis"
"149","New Hampshire Fish and Game Department",6,"Sylvilagus transitionalis"
"150","Maine Department of Inland Fisheries and Wildlife",6,"Sylvilagus transitionalis"
"151","University of Rhode Island College of Envionment and Life Sciences",6,"Sylvilagus transitionalis"
"152","University of New Hampshire",6,"Sylvilagus transitionalis"
"153","University of New Hampshire Cooperative Extenson",6,"Sylvilagus transitionalis"
"154","Southern conservation corporation",6,"Pseudanophthalmus pholeter, Pseudanophthalmus catorycetes"
"155","EDF",6,"Sylvilagus transitionalis"
"156","USFWS Utah Field Office",7,"Cicindela albissima, Aliciella caespitosa"
"157","USFS Fishlake National Forest",7,"Aliciella caespitosa"
"158","BLM Utah State Office",7,"Aliciella caespitosa"
"159","BLM Richfield Field Office",7,"Aliciella caespitosa"
"160","BLM Price Field Office",7,"Aliciella caespitosa"
"161","NPS Capitol Reef National Park",7,"Aliciella caespitosa"
"162","Arizona Game and Fish Department",8,"Pyrgulopsis morrisoni, Sonorella macrophallus"
"163","USFWS Region 2",8,"Pyrgulopsis morrisoni"
"164","Arizona Ecological Services Field Office",8,"Pyrgulopsis morrisoni"
"165","unspecified landowners",8,"Pyrgulopsis morrisoni"
"166","Yavapai County",8,"Pyrgulopsis morrisoni"
"167","Verde Watershed Association",8,"Pyrgulopsis morrisoni"
"168","Kentucky Department of Fish and Wildlife Resources",9,"Pseudanophthalmus major, Nerodia erythrogaster neglecta"
"169","Illinois Department of Natural Resources",9,"Nerodia erythrogaster neglecta"
"170","Indiana Department of Natural Resources",9,"Nerodia erythrogaster neglecta"
"171","Kentucky Coal Association",9,"Nerodia erythrogaster neglecta"
"172","Kentucky Coal Country Association",9,"Nerodia erythrogaster neglecta"
"173","Kentucky Farm Bureau",9,"Nerodia erythrogaster neglecta"
"174","Kentucky Natural Resources and Environmental Cabinet",9,"Nerodia erythrogaster neglecta"
"175","Western Kentucky Coal Association",9,"Nerodia erythrogaster neglecta"
"176","Office of Surface Mining Reclamation and Enforcement",9,"Nerodia erythrogaster neglecta"
"177","USFWS Oregon State Office",10,"Lupinus aridus ssp. ashlandensis, Horkelia hendersonii"
"178","USFS Rouge River NF",10,"Lupinus aridus ssp. ashlandensis"
"179","USFS Klamath National Forest",10,"Lupinus aridus ssp. ashlandensis"
"180","USFS Scott River and Oak Knoll Ranger Districts",10,"Lupinus aridus ssp. ashlandensis"
"181","Oregon Plant Conservation Program",10,"Lupinus aridus ssp. ashlandensis, Horkelia hendersonii"
"182","Oregon Natural Heritage Program",10,"Lupinus aridus ssp. ashlandensis, Horkelia hendersonii"
"183","USFS Rouge River National Forest",10,"Horkelia hendersonii"
"184","USFS Nalamath National Forest",10,"Horkelia hendersonii"
"185","Uintah County",11,"Penstemon grahamii, Penstemon scariosus albifluvis"
"186","Rio Blanco County",11,"Penstemon grahamii, Penstemon scariosus albifluvis"
"187","Utah School and Institutional Trust Lands Administration",11,"Penstemon grahamii, Penstemon scariosus albifluvis"
"188","Utah Governors Public Lands Policy Coordination Office",11,"Penstemon grahamii, Penstemon scariosus albifluvis"
"189","Utah Division of Wildlife Resources",11,"Penstemon grahamii, Penstemon scariosus albifluvis"
"190","BLM Utah",11,"Penstemon grahamii"
"191","BLM Vernal Field Office",11,"Penstemon scariosus albifluvis"
"192","BLM White River Field Office",11,"Penstemon scariosus albifluvis"
"193","USFWS Utah Ecological Services Field Office",11,"Penstemon scariosus albifluvis"
"194","USFWS Western Colorado Field Office",11,"Penstemon scariosus albifluvis"
"195","ESMF funds",11,"Penstemon scariosus albifluvis"
"196","SITLA",11,"Penstemon scariosus albifluvis"
"197","Private entities",11,"Penstemon scariosus albifluvis"
"198","Red Butte Garden Red Leaf Resources Inc",11,"Penstemon scariosus albifluvis"
"199","BLM Colorado",11,"Penstemon grahamii"
"200","Enefit American Oil",11,"Penstemon scariosus albifluvis"
"201","USFWS Sacramento Fish and Wildlife office",12,"Oncorhynchus mykiss ssp."
"202","USFS Shasta Trinity National Forest",12,"Oncorhynchus mykiss ssp."
"203","John Hancock Mutual Life Insurace Company",12,"Oncorhynchus mykiss ssp."
"204","Bob McIntsh (Private landowner)",12,"Oncorhynchus mykiss ssp."
"205","Sierra Pacific Industries",12,"Oncorhynchus mykiss ssp."
"206","Hearest Corporation",12,"Oncorhynchus mykiss ssp."
"207","Siskiyou County Board of Supervisors",12,"Oncorhynchus mykiss ssp."
"208","California Department of Fish and Wildlife Northern region",13,"Oncorhynchus mykiss aquilarum"
"209","USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest",13,"Oncorhynchus mykiss aquilarum"
"210","USFWS Pacific Southwest Region Sacramento Office",13,"Oncorhynchus mykiss aquilarum"
"211","private landowners of Cow Head Lake Cow Head Slough and California reach of Barrel Creek (four owners all CA signatories)",14,"Gila bicolor vaccaceps"
"212","principal permittees on BLM lands within the drainage",14,"Gila bicolor vaccaceps"
"213","California and Modoc County Cattlemen's Associations",14,"Gila bicolor vaccaceps"
"214","the California Farm Bureau Federation",14,"Gila bicolor vaccaceps"
"215","BLM Surprise Field Office",14,"Gila bicolor vaccaceps"
"216","California Department of Parks and Recreation Anza Borrego Desert State Park",15,"Phrynosoma mcallii"
"217","BLM El Centro",15,"Phrynosoma mcallii"
"218","BLM Palm Springs",15,"Phrynosoma mcallii"
"219","BLM Yuma District",15,"Phrynosoma mcallii"
"220","BLM California Desert District",15,"Phrynosoma mcallii"
"221","Bureau of Reclamation Yuma",15,"Phrynosoma mcallii"
"222","USFWS Carlsbad Field Office",15,"Phrynosoma mcallii"
"223","USFWS Phoenix Field Office",15,"Phrynosoma mcallii"
"224","US Marine Corps Air Station Yuma",15,"Phrynosoma mcallii"
"225","US Naval Air Facility-El Centro",15,"Phrynosoma mcallii"
"226","US Navy SW Division San Diego",15,"Phrynosoma mcallii"
"227","Arizona Game and Fish",15,"Phrynosoma mcallii"
"228","California Department of Parks and Recreation Off-Highway Motor Vehicle Division Ocotillo Wells State Recreational Vehicle Area",15,"Phrynosoma mcallii"
"229","Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado",15,"Phrynosoma mcallii"
"230","Reserva de la Biosfera el Pinacate y Gran Desierto de Altar",15,"Phrynosoma mcallii"
"231","several ICC agencies",15,"Phrynosoma mcallii"
"232","Mississippi Army National Guard",16,"Fallicambarus gordoni"
"233","USFS DeSoto National Forest",16,"Fallicambarus gordoni"
"234","Mississippi Department of Wildlife Fisheries and Parks",16,"Fallicambarus gordoni"
"235","USFWS Southeast Region",16,"Fallicambarus gordoni"
"236","University of Hawaii",17,"Nysius wekiuicola"
"237","Group 70 International Inc",17,"Nysius wekiuicola"
"238","Utah Division of Parks and Recreation",18,"Cicindela albissima"
"239","BLM Utah State office",18,"Cicindela albissima"
"240","Kane County",18,"Cicindela albissima"
"241","USFS Minidoka Ranger District",19,"Castilleja christii"
"242","USFS Sawtooth National Forest",19,"Castilleja christii"
"243","USFWS Snake River Fish and Wildlife office",19,"Castilleja christii"
"244","Alcoa Power Generating Inc",20,"Solidago plumosa"
"245","USFWS Service Asheville Field Office",20,"Solidago plumosa"
"246","North Carolina Plant Conservation Program",20,"Solidago plumosa"
"247","USFWS Southern Nevada Fish and Wildlife Office",21,"Lithobates onca"
"248","cooperator (unspecified landowner)",21,"Lithobates onca"
"249","California Department of Fish and Wildlife Natural Heritage Division Endangered plant program",22,"Downingia concolor brevior"
"250","Department of Biology San Diego State University",22,"Downingia concolor brevior"
"251","Department of Forest and Rangeland Stewardship Colorado State University",23,"Ambrysus funebris"
"252","NPS  Death Valley Office",23,"Ambrysus funebris"
"253","Montana Department of Fish Wildlife and Parks",24,"Thymallus arcticus"
"254","BLM Dillon Field Office",24,"Thymallus arcticus"
"255","Montana Department of Natural Resources and Conservation",24,"Thymallus arcticus"
"256","Beaverhead County",24,"Thymallus arcticus"
"257","Madison County",24,"Thymallus arcticus"
"258","USFWS Montana Ecological Services Office",25,"Zaitzevia thermae"
"259","USFWS Bozeman Fish Technology center",25,"Zaitzevia thermae"
"260","Montana State University",25,"Zaitzevia thermae"
"261","Montana Fish Wildlife and Parks",25,"Zaitzevia thermae"
"262","EPA",25,"Zaitzevia thermae"
"263","Army Corps of Engineers (COE)",25,"Zaitzevia thermae"
"264","neighboring land owners",25,"Zaitzevia thermae"
"265","USFS Coconino National Forest",26,"Cimicifuga arizonica"
"266","USFS Kaibab National Forest",26,"Cimicifuga arizonica"
"267","USFS Tonto National Forest",26,"Cimicifuga arizonica"
"268","UFWS Service Arizona Ecological Services Field Office",26,"Cimicifuga arizonica"
"269","Otero County",27,"Euphydryas anicia cloudcrofti"
"270","USFWS Ecological Services New Mexico Field Office",27,"Euphydryas anicia cloudcrofti"
"271","USFS Lincoln National Forest",27,"Euphydryas anicia cloudcrofti"
"272","Village of Cloudcroft",27,"Euphydryas anicia cloudcrofti"
"273","USFS Coronado National Forest Safford Ranger District",28,"Sonorella macrophallus"
"274","USFWS Arizona Ecological Services Field Office",28,"Sonorella macrophallus"
"275","USFWS Ventura Fish and Wildlife Office",29,"Chorizanthe parryi var fernandina"
"276","Newhall Land Farming Company",29,"Chorizanthe parryi var fernandina"
"277","Utah Department of Natural Resources",30,"Iotichthys phlegethontis"
"278","BLM Provo Area Office",30,"Iotichthys phlegethontis"
"279","Bureau of Reclamation Upper Colorado Region",30,"Iotichthys phlegethontis"
"280","Utah Reclamation Mitigation and Conservation Commission",30,"Iotichthys phlegethontis"
"281","Confederated Tribes of the Goshute Reservation",30,"Iotichthys phlegethontis"
"282","Central Utah Water Conservancy District",30,"Iotichthys phlegethontis"
"283","Southern Nevada Water Authority",30,"Iotichthys phlegethontis"
"284","Colorado Parks and Wildlife",31,"Oncorhynchus clarkii virginalis"
"285","New Mexico Department of Game and Fish",31,"Oncorhynchus clarkii virginalis"
"286","USFWS Albuquerque New Mexico Ecological Services Field Office",31,"Oncorhynchus clarkii virginalis"
"287","Mescalero Apache Nation",31,"Oncorhynchus clarkii virginalis"
"288","Jicarilla Apache Nation",31,"Oncorhynchus clarkii virginalis"
"289","Taos Pueblo",31,"Oncorhynchus clarkii virginalis"
"290","Trout Unlimited",31,"Oncorhynchus clarkii virginalis"
"291","Vermejo Park Ranch",31,"Oncorhynchus clarkii virginalis"
"292","Colorado Division of Parks and Wildlife",31,"Oncorhynchus clarkii virginalis"
