Scientific name,Common name,agreement number ,partner in agreement,Note if plan is management area (and relevance to the species if information is present),Programatic (Y/N),type of partners,doc link,notes on actions taken (from notes tab),Don't know how to categorize action - dump text here,1. Land/Water Management,2. Species Management,3. Awareness raising,4. law enforcement and prosecution,"5. livelihood, economic and moral incentrives",6. Conservation Design and Planning,7. Legal and Policy frameworks,8. Research and monitoring,9. Education and Training,10. Institutional Development,funding ,
Allium gooddingii,GOODING'S ONION,doc 1 CCA,"USFWS, USFS",,N,M,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/GooddingsOnion/gooddingsonionAgreemen.pdf, ,,"Work together under the terms of this conservation agreement to manage, protect, and restore the ecosystems upon which Goodding’s onion and other species depend.", ,,,,,,,,"Annually review implementation of the Forest’s conservation strategies, share data and information, conduct field reviews as needed, and provide recommendations to the Regional Forester and Regional Director on any proposed changes to the strategies or amendments to this conservation agreement. / Meet together as soon as mutually deemed necessary, but at least before the sixth year of this agreement, to review the Forest’s conservation strategies and recommend any changes in their content or implementation. / Fulfill their administrative responsibilities to oversee the implementation of the Goodding’s Onion conservation strategies, which includes the allocation of staff time for technical supervision and project administration, and the programming of outyear budget needs and botanical skills.",NA,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Participating landowners, ,Y,P,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,X. OBLIGATIONS OF THE PARTNERS (pages 71-75),"ADD ""conduct an assessment of baseline conditions"" --> reserch??","implement water conservation measures to improve streamflows, which benefit grayling. These measures may include, but are not limited to--repairing leaking head gates and water diversion structures, reducing irrigation withdrawals, complying with water rights (period of use and amount of water withdrawals), improving irrigation ditches to reduce water losses, installing and maintaining off-stream livestock watering facilities, and using alternative less water-intensive livestock forage. ",promote grayling passage and reduce entrainment of fishes in irrigation ditches. // Permit translocation of grayling into suitable unoccupied habitats in streams on or adjacent to their enrolled lands to expand the distribution and abundance of grayling,NA,NA,NA,"installing and maintaining fences that manage livestock within or exclude livestock from the riparian zones, ","Remain in compliance with the terms of the Agreement and their site-specific plan to maintain their Certificate of Inclusion. The MFWP and USFWS may suspend or revoke, in whole or in part, the Certificate of Inclusion for cause in accordance with the laws and regulations in force at the time of such suspension or revocation (50 CFR 13.28(a)). If MFWP or the USFWS determines that a Participating Landowner is violating the terms of the site-specific plan, written notice shall be sent to the Participating Landowner advising the Participating Landowner of the nature of the violation and identifying corrective actions required to bring the Participating Landowner back into compliance with the site-specific plan. Take authorization and the regulatory assurances associated with the Certificate of Inclusion may be suspended or revoked if the landowner does not remedy the violation within seven (7) days after receipt of the notice. ",NA,NA,NA,NA,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Participating landowners, ,Y,P,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,X. OBLIGATIONS OF THE PARTNERS (pages 71-75),"ADD ""conduct an assessment of baseline conditions"" --> reserch??","Permit the Agencies to conduct an assessment of baseline environmental conditions and land use practices leading to the cooperative development of a comprehensive site-specific plan for their enrolled lands. Implement the site-specific plan which meets the conservation guidelines of this Agreement. /// All the following pertain to management /// 3. As identified in the site-specific plans, Participating Landowners shall cooperatively
implement water conservation measures to improve streamflows, which benefit grayling.
These measures may include, but are not limited to--repairing leaking head gates and
water diversion structures, reducing irrigation withdrawals, complying with water rights
(period of use and amount of water withdrawals), improving irrigation ditches to reduce
water losses, installing and maintaining off-stream livestock watering facilities, and using
alternative less water-intensive livestock forage. / / 5. As identified in the site-specific plan, cooperatively implement conservation measures",NA,0,0,0,"Implement the site-specific plan which meets the conservation guidelines of this Agreement. / 4. As identified in the site-specific plan, cooperatively implement riparian habitat
conservation measures that maintain or improve existing conditions on enrolled lands.
These measures may include, but are not limited to--installing and maintaining fences
that manage livestock within or exclude livestock from the riparian zones, installing and
maintaining off-stream livestock watering facilities, replanting or transplanting native
riparian vegetation such as willows, and curtailing or relocating any ranching activities
that degrade riparian habitats.",NA,0,0,0,0,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Montana Fish Wildlife and Parks, ,Y,S,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,PDF MIA,"ADD ""rapid assessment surveys; entrainment surveys"" --> research",,"Translocate grayling gametes into suitable unoccupied habitat in the Project Area, where appropriate, to meet guidelines for distribution and abundance of grayling. The reintroduction process may require the capture of fish, relocation of wild fish, and the collection of gametes. ",NA,NA,NA,negotiation and implementation of site-specific plans. / Develop mutually agreeable site-specific plans in cooperation with Participating Landowners and the other Agencies.,Hold the 10(a)(1)(A) Enhancement of Survival Permit issued under the Agreement. // Issue Certificates of Inclusion to Participating Landowners under the terms of this Agreement.,rapid assessment surveys; entrainment surveys ,,enrollment of landowners // Participate in the formation of a technical committee to assess threats to grayling in the Project Area from nonnative trout species.,"Actively pursue the funding necessary to implement the Agreement and each site-specific plan. Funding may be provided by a variety of sources including any appropriate Federal, State, and private source but is not guaranteed ",
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Montana Fish Wildlife and Parks, ,Y,S,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,PDF MIA,"ADD ""rapid assessment surveys; entrainment surveys"" --> research","Participate in the implementation of all phases of the Agreement, including, but not limited to- rapid assessment surveys; entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands; and development, negotiation and implementation of site-specific plans.",0,0,0,0,that promote grayling passage and reduce entrainment of fishes in irrigation ditches.,Hold the 10(a)(1)(A) Enhancement of Survival Permit issued under the Agreement,"Participate in the implementation of all phases of the Agreement, including, but not limited to- rapid assessment surveys; entrainment surveys;",0,"Participate in the implementation of all phases of the Agreement, including, but not limited to--enrollment of landowners","Actively pursue the funding necessary to implement the Agreement and each site-specific plan. Funding may be provided by a variety of sources including any appropriate Federal, State, and private source but is not guaranteed.", 
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Montana Department of Natural resources and Conservation, ,Y,C,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,PDF MIA,moved more text into research and monitoring (no changes to be made),NA,,,,,negotiation and implementation of site-specific plans. ,,rapid assessment surveys; entrainment surveys  / Assist in the development of a water-rights database that may assist in the development of site-specific plans.,,enrollment of landowners / Provide any requested information to MFWP to assist with preparation of annual reports.,,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Montana Department of Natural resources and Conservation, ,Y,C,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,PDF MIA,moved more text into research and monitoring (no changes to be made),"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to--rapid assessment surveys; entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands; and development, negotiation and implementation of site-specific plans. /// Participate in the development of mutually agreeable site-specific plans in coordination with Participating Landowners, and the other Agencies. Provide expert analyses of water rights and hydrologic issues. Assist in the development of a water-rights database that may assist in the development of site-specific plans. 3. Monitor daily flow in the five flow management segments. Carry out any responsibilities for implementing conservation or other measures assigned to MDNRC under this Agreement and in any site-specific plan. / These measures may include, but are not limited to--installing fish ladders or other",0,0,0,0,"Participate in the development of mutually agreeable site-specific plans in coordination with Participating Landowners, and the other Agencies",0,"entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands / 4. Carry out hydrologic monitoring as assigned to MDNRC under this Agreement and in any site-specific plan. Assist the other Agencies with the evaluation of instream flow recommendations, including professional evaluation of methods, data collection, and analyses.",0,"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to--enrollment of landowners;",0,  
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Natural Resources and Conservation Servce, ,Y,C,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,PDF MIA,ADD BMPs - eco and moral incentives … also had 1 and 6 flippe (have changed now…),NA,,,,NA,"negotiation and implementation of site-specific plans.  / Participate in the development of mutually agreeable site-specific plans in coordination with Participating Landowners, and the other Agencies. Specifically, NRCS will prepare the portion of the site-specific plans that ensures NRCS’ quality criteria for soil, water, air, plants, and animals are met. This plan may include, but is not limited to--specific assessments and recommendations for riparian habitats, irrigation water management, prescribed grazing, and nutrients.",,rapid assessment surveys; entrainment surveys / Carry out the responsibilities for riparian vegetation monitoring as assigned to NRCS under this Agreement and in any site-specific plan. Carry out any monitoring necessitated by NRCS contractual requirements or cost share programs.,,"enrollment of landowners / Provide MFWP with information relating to plans written and practices planned and/or installed to assist with the preparation of annual reports, within statutory limitations and Participating Landowner approval.",Actively pursue and provide available Federal funding to support implementation of the Agreement and any site-specific plan./ Designate EQIP focus areas and provide financial assistance to private landowners as available,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Natural Resources and Conservation Servce, ,Y,C,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,PDF MIA,ADD BMPs - eco and moral incentives … also had 1 and 6 flippe (have changed now…),Carry out any responsibilities for implementing conservation measures in any site-specific plan that is contracted through a conservation program for which NRCS has administrative responsibility. / appropriate fish passage devices to permit grayling movement past irrigation structures,0,0,0,"This plan may include, but is not limited to--specific assessments and recommendations for riparian habitats, irrigation water management, prescribed grazing, and nutrients"," 2. Participate in the development of mutually agreeable site-specific plans in coordination with Participating Landowners, and the other Agencies. Specifically, NRCS will prepare the portion of the site-specific plans that ensures NRCS’ quality criteria for soil, water, air, plants, and animals are met. This plan may include, but is not limited to--specific assessments and recommendations for riparian habitats, irrigation water management, prescribed grazing, and nutrients. 3. ",0,entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands / . Carry out the responsibilities for riparian vegetation monitoring as assigned to NRCS under this Agreement and in any site-specific plan. Carry out any monitoring necessitated by NRCS contractual requirements or cost share programs.,0,"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to--enrollment of landowners; // 5. Provide MFWP with information relating to plans written and practices planned and/or installed to assist with the preparation of annual reports, within statutory limitations and Participating Landowner approval.",6. Actively pursue and provide available Federal funding to support implementation of the Agreement and any site-specific plan. 7. Designate EQIP focus areas and provide financial assistance to private landowners as available., 
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,USFWS, ,Y,S,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,PDF MIA,,,,,,,"negotiation and implementation of site-specific plans.  / Participate in the development of mutually agreeable site-specific plans in coordination with Participating Landowners, and the other Agencies. Specifically, NRCS will prepare the portion of the site-specific plans that ensures NRCS’ quality criteria for soil, water, air, plants, and animals are met. This plan may include, but is not limited to--specific assessments and recommendations for riparian habitats, irrigation water management, prescribed grazing, and nutrients.","Upon execution of the Agreement and compliance with all applicable laws, issue MFWP the Permit, in accordance with 50 CFR 17.32 (d), that would provide MFWP and Participating Landowners authorization for take of grayling associated with covered activities at specified levels and provide regulatory assurances to Participating Landowners should the upper Missouri River grayling DPS be listed under the ESA. Take and regulatory assurances for covered activities will become effective according to the phased implementation schedule described in this Agreement. / Provide oversight on the issuance of Certificates of Inclusion and approval of site-specific plans. Review and reach a determination (i.e. approve or deny) on--
a) implementation of rapid assessment provisions and Certificate of Inclusion issuance, and b) individual site-specific plans. The USFWS will make these determinations within 30 days of receipt.   ///// Suspend or revoke, in whole or in part, the Permit if the Permit terms are not being properly implemented.",rapid assessment surveys; entrainment surveys / Carry out the responsibilities for riparian vegetation monitoring as assigned to NRCS under this Agreement and in any site-specific plan. Carry out any monitoring necessitated by NRCS contractual requirements or cost share programs.,,enrollment of landowners / Participate in the formation of a technical committee to assess threats to grayling in the Project Area from nonnative trout species. / Assist MFWP with the compilation of information and the preparation of annual reports. ,,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,USFWS, ,Y,S,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf,PDF MIA,,0,0,0,0,0,"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to-- and development, negotiation and implementation of site-specific plans. / (diversions) at all flows, redesigning and reconstructing diversion structures to facilitate","3. Upon execution of the Agreement and compliance with all applicable laws, issue MFWP the Permit, in accordance with 50 CFR 17.32 (d), that would provide MFWP and Participating Landowners authorization for take of grayling associated with covered activities at specified levels and provide regulatory assurances to Participating Landowners should the upper Missouri River grayling DPS be listed under the ESA. Take and regulatory assurances for covered activities will become effective according to the phased implementation schedule described in this Agreement. // 8. Provide oversight on the issuance of Certificates of Inclusion and approval of site-specific plans. Review and reach a determination (i.e. approve or deny) on-- a) implementation of rapid assessment provisions and Certificate of Inclusion issuance, and b) individual site-specific plans. The USFWS will make these determinations within 30 days of receipt. 9. Suspend or revoke, in whole or in part, the Certificates of Inclusion of Participating Landowners found to be in non-compliance with the requirements of the Agreement or their mutually-developed site-specific plan. The MFWP and USFWS may suspend or revoke the Certificate of Inclusion for cause in accordance with the laws and regulations in force at the time of such suspension or revocation (50 CFR 13.28(a)). If MFWP or the USFWS determines that a Participating Landowner is violating the terms of the sitespecific plan, written notice shall be sent to the Participating Landowner advising the Participating Landowner of the nature of the violation and identifying corrective actions required to bring the Participating Landowner back into compliance with the site-specific plan. Take authorization and the regulatory assurances associated with the Certificate of Inclusion may be suspended or revoked if the landowner does not remedy the violation within seven (7) days after receipt of the notice. 10. Suspend or revoke, in whole or in part, the Permit if the Permit terms are not being properly implemented.",entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands / rapid assessment surveys,0,"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to--enrollment of landowners; // 7. Participate in the formation of a technical committee to assess threats to grayling in the Project Area from nonnative trout species. // 11. Assist MFWP with the compilation of information and the preparation of annual reports.",, 
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 2 Dillon Resource Management Plan (RMP),BLM,Information taken was species specific only - entire document is only BLM so can say partner specific ,N,S,https://eplanning.blm.gov/epl-front-office/projects/lup/77497/103609/126835/ApprovedPlan.pdf,,?I don't know that this is law/policy related.. Might switch to 6 or 10,,,,,,,,,,,,
Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,USFS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,Trails will be re-routed as necessary to reduce trampling of plants or soils. No new trails will be constructed within 100 feet of existing Arizona bugbane plants. // Provide appropriate buffers around timber harvest activities to maintain Arizona bugbane population integrity. Provide adjacent habitat sufficient to maintain the appropriate microenvironments for the species.,ensure that viable populations are maintained throughout its natural range on National Forest System lands.,NA,NA,NA,"Verify and maintain integrity of pasture fencing prior to livestock use of pastures near or containing Arizona bugbane. // The corrected Kaibab National Forest Land Management Plan will be amended to incorporate the Standards and Guidelines outlined in the Arizona bugbane Conservation Assessment and Strategy on the Coconino and Kaibab National Forests for the Bill Williams Botanical Area (Management Area 6). / Evaluate opportunities for conservation easements and/or land acquisition of additional important private inholdings of Arizona bugbane populations, if any become known.","Fully involve the Fish and Wildlife Service and appropriate State agencies as cooperators or partners throughout the National Environmental Policy Act process for all projects likely to affect Arizona bugbane or its habitat. // Implement additional actions as detailed for the Coconino and Kaibab National
Forests in tables 4 and 5 of their Conservation Assessment and Strategy, and for the Tonto National Forest within the action plan of their conservation assessment. Complete all appropriate National Environmental Policy Act compliance documentation.",Conduct detailed monitoring (level 1) at each selected site as identified in the Forests' strategies / conduct surveys,,NA,,
Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,USFS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,1. Have primary responsibility for implementation of specific conservation actions to protect and restore Arizona bugbane habitat and ensure that viable populations are maintained throughout its natural range on National Forest System lands.,ensure that viable populations are maintained throughout its natural range on National Forest System lands.,0,0,0,"Evaluate opportunities for conservation easementsand/orland acquisition of additional important private inholdings of Arizona bugbane populations, if any become known",0,"Creek, Workman Creek) every five years, on a rotating schedule. Monitor all other populations with broad sampling methods every five years, to be implemented on a rotating schedule. At Workman Creek and Lower West Fork, broad sampling protocol / Monitoring will be implemented each year when detailed monitoring is not done.",0,6. Fully involve the Fish and Wildlife Service and appropriate State agencies as cooperators or partners throughout the National Environmental Policy Act process for all projects likely to affect Arizona bugbane or its habitat. // ,0,
Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,USFWS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,,,,,,NA,"Assess listing Arizona bugbane under the Endangered Species Act if implementation of this agreement is not occurring, or if the conservation measures prove to be inadequate to protect the species or its habitat. Listing would follow the normal rulemaking process. // Become fully involved throughout the NEPA progress for all projects likely to affect Arizona bugbane or its habitat (reference #6 above).",NA,Provide technical assistance in the implementation of this Conservation Agreement and ensure adequate protection and management is occurring. ,,,
Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,USFWS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,0,0,0,0,0,Become fully involved throughout the NEPA progress for all projects likely to affect Arizona bugbane or its habitat ,"2. Assess listing Arizona bugbane under the Endangered Species Act if implementation of this agreement is not occurring, or if the conservation measures prove to be inadequate to protect the species or its habitat. Listing would follow the normal rulemaking process. 3. Become fully involved throughout the NEPA progress for all projects likely to affect Arizona bugbane or its habitat (reference #6 above).",0,1. Provide technical assistance in the implementation of this Conservation Agreement and ensure adequate protection and management is occurring,0,0,
Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,"USFWS, BLM ",,N,M,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,,,,,,,,"Coordinate development of monitoring protocol, and sharing of data and information, conduct field reviews as needed, and provide recommendations to the Regional Forester and Regional Director on any proposed amendments to the Conservation Agreement. ",,Ensure outyear budget needs and botanical staffing are programmed to facilitate implementation of the actions identified for the respective agencies. // Annually review implementation of the provisions of this agreement. // Coordinate with appropriate State and Federal agencies on the implementation of wildlife management strategies within Arizona bugbane habitat. Provide survey and site specific data to the Arizona Game and Fish Department Heritage Data Management System.,Ensure outyear budget needs and botanical staffing are programmed to facilitate implementation of the actions identified for the respective agencies. ,
Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,"USFWS, BLM ",,N,M,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,0,0,0,0,0,0,0,Provide survey and site specific data to the Arizona Game and Fish Department Heritage Data Management System. ,0,"3. Annually review implementation of the provisions of this agreement. Coordinate development of monitoring protocol, and sharing of data and information, conduct field reviews as needed, and provide recommendations to the Regional Forester and Regional Director on any proposed amendments to the Conservation Agreement. 4. Coordinate with appropriate State and Federal agencies on the implementation of wildlife management strategies within Arizona bugbane habitat. Provide survey and site specific data to the Arizona Game and Fish Department Heritage Data Management System.",2. Ensure outyear budget needs and botanical staffing are programmed to facilitate implementation of the actions identified for the respective agencies., 
Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,doc 1 conservation agreement,USFS,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf, ,,,,,,,,,,,,,
Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,doc 1 conservation agreement,USFWS,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf, ,,,,,,,,,,,,,
Erigeron basalticus,BASALT DAISY,doc 1,NPS,Not a signed agreement so different catgeogry of partner --> but G,N,G,https://botanicgardens.uw.edu/wp-content/uploads/sites/7/2014/10/RarePlantPressVolIINo2.pdf,"Under this project, Rare Care is collecting seeds from populations of rare and endemic plants on national parks for long term storage in the Miller Seed Vault. By banking seeds of wild plant populations now, the NPS is safeguarding against the loss of the genetic diversity represented in the populations today and at the same time collecting the genetic material needed for restoring populations of these species once the impacts of global climate change are better understood. Over a two year period, Rare Care will collect seeds from rare plants in Olympic National Park, Mt Rainier National Park, and North Cascades National Park. In 2007, successful collections were made of Cotton’s milkvetch (Astragalus cottonii) from Olympic National Park, green keeled cotton-grass (Eriophorum viridicarinatum) from North Cascades National Park, and Mt. Rainier lousewort (Pedicularis rainierensis) and obscure Indian paintbrush (Castilleja cryptantha) from Mt. Rainier National Park. Additional collections will be made in the 2008 season.",,,,,,,,,,,,,
Erigeron basalticus,BASALT DAISY,doc 1,NPS,Not a signed agreement so different catgeogry of partner --> but G,N,G,https://botanicgardens.uw.edu/wp-content/uploads/sites/7/2014/10/RarePlantPressVolIINo2.pdf,"Under this project, Rare Care is collecting seeds from populations of rare and endemic plants on national parks for long term storage in the Miller Seed Vault. By banking seeds of wild plant populations now, the NPS is safeguarding against the loss of the genetic diversity represented in the populations today and at the same time collecting the genetic material needed for restoring populations of these species once the impacts of global climate change are better understood. Over a two year period, Rare Care will collect seeds from rare plants in Olympic National Park, Mt Rainier National Park, and North Cascades National Park. In 2007, successful collections were made of Cotton’s milkvetch (Astragalus cottonii) from Olympic National Park, green keeled cotton-grass (Eriophorum viridicarinatum) from North Cascades National Park, and Mt. Rainier lousewort (Pedicularis rainierensis) and obscure Indian paintbrush (Castilleja cryptantha) from Mt. Rainier National Park. Additional collections will be made in the 2008 season.",,,,,,,located on NPS,,,,,, 
Erigeron basalticus,BASALT DAISY,doc 1,Rare Care,,N,G,https://botanicgardens.uw.edu/wp-content/uploads/sites/7/2014/10/RarePlantPressVolIINo2.pdf, ,,,,,,,,,,,,,
Erigeron basalticus,BASALT DAISY,doc 1,Rare Care,,N,G,https://botanicgardens.uw.edu/wp-content/uploads/sites/7/2014/10/RarePlantPressVolIINo2.pdf, ,,,"Rare Care is collecting seeds from populations of rare and endemic plants on national parks for long term storage in the Miller Seed Vault. By banking seeds of wild plant populations now, the NPS is safeguarding against the loss of the genetic diversity represented in the populations today and at the same time collecting the genetic material needed for restoring populations of these species once the impacts of global climate change are better understood.",,,,,,,,,,
Opuntia X multigeniculata,BLUE DIAMOND CHOLLA,doc 1 HCP,BLM,*For 79 species - the partners listed are only those that relate to this species,N,G,http://www.clarkcountynv.gov/airquality/dcp/Documents/Library/current%20HCP/cc-appa.pdf, , ,,,,,,,,,,,,
