Scientific name,Common name,Conservation Plan_1,Conservation Plan_2,Conservation Plan_3,"PROGRAMS, JULIE NOTES (if conflicting with FWS program)",notes_contribute_Julie,notes_all,number of conservation agreements,total number of partners for spcies,type of agreements (source of information),Who the partners are,,,,Partners present?_CP1,notes_CP1,Partner identity CP1,partner activities CP1,CP1_docs,notes_CP2,Partners present? CP2,Partner identity _CP2 ,partner activities_CP2,CP2_docs,notes_CP3,Partners present? CP33,Partner identity _CP3,partner activities_CP3,CP3_docs
Fallicambarus gordoni,CAMP SHELBY BURROWING CRAYFISH,,,,,,,1,4,CCA,"Mississippi Army National Guard, U.S. Forest Service, Mississippi Department of Wildlife, Fisheries and Parks (--> Mississippi Museum of Natural Sciences (MMNS)), and the USFWS",,,,4, ,"Mississippi Army National Guard, U.S. Forest Service, Mississippi Department of Wildlife, Fisheries and Parks (--> Mississippi Museum of Natural Sciences (MMNS)), and the USFWS","X. CONSERVATION ACTIONS TO BE IMPLEMENTED In order to accomplish the goal and objectives of this Agreement, the parties agree to undertake the following specific measures: A. HABITAT PROTECTION: 1. Upon execution of this Agreement by each of the signatory parties, the following guidelines, developed from the Mississippi Army National Guard’s Integrated Natural and Cultural Resources Management Plan (2001), the U.S. Forest Service’s Final Environmental Impact Statement for Vegetative Management in the Coastal Plain/Piedmont (1989), and the U.S. Forest Service’s Forest Plan for the National Forests in Mississippi (1987), will be immediately implemented in wetland areas known to be occupied by CSBC: · A 100-foot protective buffer will be posted around occupied wetlands, and vehicles*, equipment*, off-road vehicles, livestock (horses), and pesticides will be prohibited within the buffer. · Fire breaks, fire lanes, or ditches will not be constructed through the occupied wetlands. · Timber harvesting in occupied wetlands will be limited to the removal of planted slash pines (see Habitat Management, below). · Occupied wetlands will not be replanted with trees. · No applications of herbicides will occur within occupied wetlands or their buffers except for treatment of noxious invasive weeds (e.g., cogon grass) using aquatic-labeled herbicides with prior approval by the CSBC Team (see Section XI, below). *Activities within the posted buffers that have been previously approved under the Environmental Impact Statement for the Camp Shelby Special Use Permit Area on National Forest Land (i.e., existing and future firing ranges requiring limited periodic maintenance for line of sight, or ephemeral wetland crossings for tracked and wheeled armor on Combined Arms Area ranges) may be conducted upon development and approval of maintenance protocols and/or mitigation requirements by the CSBC Team (see Section XI, below). Responsible Party: USFS, MSNG. 2. Within 6 months of the parties’ signing of this Agreement, all existing ATV trails through wetlands currently known to be occupied by CSBC will be blocked and posted. Responsible Party: USFS, MSNG. 3. Prior to any construction, timber harvesting, or military training activities within pitcher plant wetlands in the upper Cypress Creek or Beaumont Creek watersheds, surveys will be conducted by the responsible Party to determine the presence or absence of CSBC in wetland areas. If CSBC are present, the Measures identified under Section X.A.1, above, will be implemented. Responsible Party: USFS, MSNG. B. HABITAT MANAGEMENT Wetlands are currently managed and protected to some degree by both USFS (1989, 1987) and MSNG (2001). Upon execution of this Agreement by the signatory parties, the following management actions will be implemented in CSBC occupied wetlands: · Fire management: wetlands will be burned every 2 to 3 years during the growing season, beginning in 2004, weather permitting. Responsible Party: USFS. · Erosion control: silviculture and military training activities in uplands draining into CSBC wetlands will employ erosion Best Management Practices (BMPs); existing erosion problems near wetlands will be repaired. Responsible Party: USFS, MSNG. · Hydrology: natural hydrological flow from adjacent uplands into CSBC habitats will be maintained. Responsible Party: USFS, MSNG. · Restoration: slash pines will be removed from overgrown wetland areas where there are currently low densities of CSBC. Responsible Party: USFS. · Timber management: slash pine removal will be by chainsaw when the soil is dry. Where possible, cut pines will be scattered at the site. If mechanical removal of trees is required, it will be monitored by a representative of MSNG or USFS to ensure minimal soil disturbance and compaction. Responsible Party: USFS. C. MONITORING Monitoring is an essential component of any conservation strategy and plan. However, as noted previously, CSBC live in subterranean burrows and are difficult to quantify. The presence of any species of burrowing crayfish, including the CSBC, is easily established in wetlands by the presence of burrow “chimneys.” However, in order to identify the species of crayfish making the burrow, it is usually necessary to excavate the burrow. Although CSBC burrows may have one to four chimneys, and may be occupied by one or more individuals, the presence and density of burrows is a nondestructive measurement of crayfish response to management. CSBC are most abundant in open, high quality pitcher plant wetlands. Therefore, vegetation monitoring will also be an effective tool in assessing the health of the community and the CSBC, and the effectiveness of habitat management. Within three months of execution of this Agreement by the signatory parties, a CSBC/vegetation monitoring plan will be developed and submitted to all parties  for approval. Upon approval of the monitoring plan, an initial burrow census will be conducted in areas known to be inhabited by CSBC. Vegetation baseline data will also be developed for each site. Annual monitoring of selected habitats will be conducted during the initial term of this Agreement (see Section XII, below). Monitoring sites will be identified by the CSBC Conservation Team established in Section XI, below. Periodic limited excavation will be conducted to establish that CSBC is the species constructing burrows in the wetlands. Annual monitoring reports will be submitted to all parties by January 1 of each year. Responsible Party: USFS, MSNG. Census/monitoring techniques will be modified as information is developed. D. EDUCATION AND INFORMATION TRANSFER Awareness can promote higher levels of environmental stewardship and protection for the CSBC and its habitat. Activities within the areas occupied by the species include silviculture, troop training, hunting, and sport riding. Within one year of the execution of this Agreement by the signatory parties, educational materials describing pitcher plant wetlands, and the unique presence of CSBC and other sensitive species will be developed and distributed to targeted audiences, including the National Guard, loggers, and ATV users. Responsible Party: USFS, MSNG, FWS, and MMNS.",https://www.fws.gov/mississippies/_pdf/5_CSBC_final_CCA_with_signatures.pdf,,,,,,,,,,
Synthyris ranunculina,CHARLESTON KITTENTAILS,,,,,,,2,13,"HCP - MSHCP, CCA","USFS, USFWS, Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ---> • Clark County (all ecosystems) • USFS (alpine, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, and blackbrush) • USFWS (as a resource agency, throughout Clark County; as land managers, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • BLM (pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • USAF (salt desert scrub and Mojave desert scrub) • NPS (blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • Boulder City (Mojave desert scrub) • State Parks (Mojave desert scrub) • NDOW (as a resource agency, throughout Clark County; as land managers, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • NDOT (all ecosystems below alpine) • NDF (all ecosystems)",,,,3?,CCA,"USFS, USFWS, Nevada Department of Conservation and Natural Resources",See section III Authority,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_450.pdf,HCP - MSHCP seems to cover kittentails (same agreement that covers blue diamond cholla); references adaptive management plan,10,"total agreement: Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ---> • Clark County (all ecosystems) • USFS (alpine, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, and blackbrush) • USFWS (as a resource agency, throughout Clark County; as land managers, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • BLM (pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • USAF (salt desert scrub and Mojave desert scrub) • NPS (blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • Boulder City (Mojave desert scrub) • State Parks (Mojave desert scrub) • NDOW (as a resource agency, throughout Clark County; as land managers, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • NDOT (all ecosystems below alpine) • NDF (all ecosystems)",too much information to copy - see chapter 2 (broken down into units ie outreach and education and then subunits are what each partner will contribute),http://www.clarkcountynv.gov/airquality/dcp/Documents/Library/current%20HCP/cc-appa.pdf,,,,,
Castilleja christii,CHRISTÕS PAINTBRUSH,,,,,,,1,2 or 3,CCA,"USFS (Minidoka Ranger District and Sawtooth National Forest), USFWS",,,,2 or 3,CCA,"USFS (Minidoka Ranger District and Sawtooth National Forest), USFWS",See pages 23-25,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_358.pdf,MOU,,,,?????,,,,,
Astragalus oophorus clokeyanus,CLOKEY'S EGGVETCH,,,,,,,2,13,"HCP - MSHCP, CCA","USFS, USFWS, Nevada Department of Conservation and Natural Resources, Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ---> • Clark County (all ecosystems) • USFS (alpine, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, and blackbrush) • USFWS (as a resource agency, throughout Clark County; as land managers, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • BLM (pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • USAF (salt desert scrub and Mojave desert scrub) • NPS (blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • Boulder City (Mojave desert scrub) • State Parks (Mojave desert scrub) • NDOW (as a resource agency, throughout Clark County; as land managers, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • NDOT (all ecosystems below alpine) • NDF (all ecosystems)",,,,3,CCA (same as listed above),"USFS, USFWS, Nevada Department of Conservation and Natural Resources",See section III Authority,,HCP - MSHCP seems to cover kils (same agreement that covers blue diamond cholla and kittentail); references adaptive management plan,10,"total agreement: Clark County, USFS, USFWS, BLM, NPS, NDOW, Nevada Division of State parks, USAF, boulder city, state parks ---> • Clark County (all ecosystems) • USFS (alpine, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, and blackbrush) • USFWS (as a resource agency, throughout Clark County; as land managers, bristlecone pine, mixed conifer, pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • BLM (pinyon-juniper, sagebrush, blackbrush, salt desert scrub, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • USAF (salt desert scrub and Mojave desert scrub) • NPS (blackbrush, salt desert scrub, Mojave desert scrub, and mesquite/catclaw) • Boulder City (Mojave desert scrub) • State Parks (Mojave desert scrub) • NDOW (as a resource agency, throughout Clark County; as land managers, Mojave desert scrub, mesquite/catclaw, and desert riparian/aquatic) • NDOT (all ecosystems below alpine) • NDF (all ecosystems)","too much information to copy - see chapter 2 (broken down into units ie outreach and education and then subunits are what each partner will contribute) --> specific to this species is as follows:::  USFS(150) Develop and implement a prescribed burn plan for the NRA , with emphasis on ecosystem health and enhancement of habitat for sensitive bats, endemic plants and butterflies, and other ecological resources. This plan will, at a minimum, determine the location, species, and habitats for enhancement, identify studies needed prior to implementation, outline a public information campaign, and identify the time frame in which the plan will be implemented. The prescribed burn plan will address concerns, and where feasible implement recommendations for protection of rare and sensitive flora and plant communities (Nachlinger and Reese 1996), overwintering pollinators, endemic butterflies and their host plants (Weiss et al. 1997), Palmer’s chipmunk (Tomlinson 1995), bats (Ramsey 1994, 1997), and other species of concern. This plan will specifically address the issue of whether or not Clokey eggvetch may benefit from prescribed burns. (CA1.11)* // USFS(178) Use prescribed fire within known and potential habitat of Clokey eggvetch to improve habitat suitability when fuel, weather, and local/national fire season allows. (FS-GU-0.23) // USFS(73) New roads, administrative facilities, and developed recreation sites other than low-impact facilities (trails, trailhead parking, signs, restrooms, etc.) will be outside a 100 yard buffer zone around known Clokey eggvetch and rough angelica populations or potential habitat, and outside biodiversity hotspots (defined as areas of particular diversity or sensitivity) (FS-ST-0.31) // USFS(73) New roads, administrative facilities, and developed recreation sites other than low-impact facilities (trails, trailhead parking, signs, restrooms, etc.) will be outside a 100 yard buffer zone around known Clokey eggvetch and rough angelica populations or potential habitat, and outside biodiversity hotspots (defined as areas of particular diversity or sensitivity) (FS-ST-0.31) // USFS(114) Gary Abbot Campground - Close campsite and restore area to enhance habitat of Clokey eggvetch and butterflies. (CA5.10d)",http://www.clarkcountynv.gov/airquality/dcp/Documents/Library/current%20HCP/cc-appa.pdf,,,,,
Rana luteiventris,COLUMBIA SPOTTED FROG - GREAT BASIN DPS,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Rana luteiventris,COLUMBIA SPOTTED FROG - WASATCH FRONT POPULATION,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Rana luteiventris,COLUMBIA SPOTTED FROG - WEST DESERT POPULATION,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Polyctenium williamsiae,COMBLEAF,,,,,,,0,0,None,N/A,,,,, ,,,,,,,,,,,,,
Nerodia erythrogaster neglecta,COPPERBELLY WATER SNAKE,,,,,,,2,12,"Unclear, CCA",*unclear if in addition to or separate from other agreement - Indiana Coal Council; Indiana Department of Natural Resources; U.S. Department of Interior - U.S. Fish and Wildlife Service /// Illinois Department of Natural Resources; Indiana Department of Natural Resources; Kentucky Department of Fish and Wildlife Resources; Kentucky Coal Association; Kentucky Coal Country Association; Kentucky Farm Bureau; Kentucky Natural Resources and Environmental Cabinet; Western Kentucky Coal Association; U.S. Department of Interior - U.S. Fish and Wildlife service - Office of Surface Mining reclamation and Enforcement,,,,9,Kentucky/Indiana/Illinois Agreement,Illinois Department of Natural Resources; Indiana Department of Natural Resources; Kentucky Department of Fish and Wildlife Resources; Kentucky Coal Association; Kentucky Coal Country Association; Kentucky Farm Bureau; Kentucky Natural Resources and Environmental Cabinet; Western Kentucky Coal Association; U.S. Department of Interior - U.S. Fish and Wildlife service - Office of Surface Mining reclamation and Enforcement,"**note not from actual CCA Public agencies agree to: Treat the copperbelly water snake as a protected species in considering applications for activities that may affect the snake, such as mining and reclamation. Put a high priority on copperbelly habitat when acquiring land or establishing leases and easements. Avoid converting or degrading bottomlands or wetlands identified as known or potential copperbelly habitat, unless mitigation is carried out. Restore and enhance known or potential copperbelly habitat on lands they own or manage. Strictly control scientific collection of copperbelly water snakes. Provide law enforcement officers with training in protection of the copperbelly water snake and make enforcement of applicable regulations a high priority. In Kentucky and Illinois, develop laws or regulations to protect the copperbelly water snake. The State of Indiana already protects the copperbelly as a state endangered species. In Indiana, limit conservation requirements for coal companies to terms already determined in the conservation agreement, in the event the snake is listed in the future,. /// Coal/agriculture interests in Kentucky and Illinois agree to: Within 12 identified key habitat areas in Kentucky, minimize mining operations so that not more than 4 percent of the total acreage of these areas is mined, and not more than 10 percent of most individual habitat areas is affected by mining. These identified key habitat areas total about 112,400 acres. In copperbelly habitat outside identified key areas in Kentucky, and in copperbelly habitat in Illinois, modify mining to minimize impact on larger tracts of habitat, maintain travel corridors for the snake, and use reclamation techniques on mined areas that enhance copperbelly habitat. Efforts will be made to provide habitat diversity, including creation or restoration of seasonal and permanent wetlands and buffer areas. Encourage Kentucky Farm Bureau members to follow existing regulations for agricultural operations. Agricultural practices conducted under existing State and Federal statutes do not pose a threat to the copperbelly. // In Indiana, the Indiana Coal Council agrees to: Avoid all mining in six key ""core"" copperbelly habitat areas totaling about 10,400 acres. In habitat outside core areas, modify mining to minimize impact on larger tracts of habitat, maintain travel corridors for the snake, and use reclamation techniques on mined areas that enhance copperbelly habitat. Efforts will be made to provide habitat diversity, including creation or restoration of seasonal and permanent wetlands and buffer areas.", --> this is where information has come from:  https://www.fws.gov/Midwest/endangered/reptiles/cws/copprCAfcts.html#ag  - - - - - --> closet I can get to CCA but looks like more of a report: https://esadocs.defenders-cci.org/ESAdocs/recovery_plan/081223.pdf,Indiana Coal Mining Agreement ,3,*unclear if in addition to or separate from other agreement - Indiana Coal Council; Indiana Department of Natural Resources; U.S. Department of Interior - U.S. Fish and Wildlife Service,??,,,,,,
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,,,,,,,1,4,CCA,"Utah Division of parks and Recreat, BLM, FWS, Kane County Utah",,,,4, ,"Utah Division of parks and Recreat, BLM, FWS, Kane County Utah",Pages 6-9,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf,there was a reference in CCA to an MOU,,,,unable to find,,,,,
Gila bicolor vaccaceps,COW HEAD TUI CHUB,,,,,,,1,8+,CA,"from federal registery doc - On October 22, 1999, stakeholders signed a conservation agreement (CA), including a conservation strategy, with the stated purpose of ensuring the longterm survival of the Cow Head tui chub (Service 1999, p. 2). Signatories included private landowners of Cow Head Lake, Cow Head Slough, and the California reach of Barrel Creek (four owners, all CA signatories); principal permittees on BLM lands within the drainage; California and Modoc County Cattlemen’s Associations; the California Farm Bureau Federation; the BLM (Surprise Field Office); and California Department of Fish and Game (CDFG).",,,,8+,,"from federal registery doc - On October 22, 1999, stakeholders signed a conservation agreement (CA), including a conservation strategy, with the stated purpose of ensuring the longterm survival of the Cow Head tui chub (Service 1999, p. 2). Signatories included private landowners of Cow Head Lake, Cow Head Slough, and the California reach of Barrel Creek (four owners, all CA signatories); principal permittees on BLM lands within the drainage; California and Modoc County Cattlemen’s Associations; the California Farm Bureau Federation; the BLM (Surprise Field Office); and California Department of Fish and Game (CDFG).","Management Recommendations: On October 22, 1999, stakeholders in the Cow Head watershed signed a conservation agreement (CA) and conservation strategy (CS), with the stated purpose of ensuring the long-term survival of the CHTC (USFWS 1999). Signatories included the US Fish and Wildlife Service, private landowners of Cow Head Lake, Cow Head Slough and the California reach of Barrel Creek (four owners, all CA signatories), principal permittees on BLM lands within the drainage, California and Modoc County Cattlemen’s Associations, the California Farm Bureau Federation, the U.S. Bureau of Land Management (BLM - Surprise Field Office), and California Department of Fish and Wildlife (CDFW). The two owners on West Barrel and the single owner for perennial reaches of Barrel and Keno creeks (Nevada) were not original signatories to the CA, because these populations were not recognized at the time; however, they have been collaborative in providing access to meet the needs of the Conservation Strategy (Reid 2006). Management directives laid out under phase 2 of the Conservation Agreement and Strategy, which must be implemented, are as follows: · Create more stable habitat for populations downstream of the Pump Canal. · Provide greater stability for the chub population upstream of the pump canal by creating, to the extent feasible, additional habitat in the area of historic Cow Head Lake. · Monitor, as appropriate, the status of chub populations and effectiveness of conservation actions. · Establish a monitoring program, whereby chub populations are sampled at least once a year. In addition: · A study of the environmental requirements of CHTC is needed. · Slough reaches on public lands should be designated as Areas of Critical Environmental Concern and methods and locations to establish a permanent refuge for the CHTC on public land should be identified. · Cow Head slough should be fenced to reduce or eliminate cattle grazing in riparian areas.",https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=104289&inline,,,,,,,,,,
Downingia concolor brevior,CUYAMAC LAKE DOWNINGIA,,,,,,,1,1,CCA,California department of Fish and Wildlife Natural Heritage Division Endangered plant program,,,,1,,California department of Fish and Wildlife Natural Heritage Division Endangered plant program,Entire document,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=3165,,,,,,,,,,
Cymopterus deserticola,DESERT CYMOPTERUS,,,,,,,2,21,"HCP, unclear, titled - FINDING OFNO SIGNIFICANT IMPACT FOR THE INTEGRATED NATURAL RESOURCES MANAGEMENT PLAN FOR EDWARDS AIR FORCE BASE, CALIFORNIA","• Local Jurisdictions: The cities of Adelanto, Barstow, California City, Hesperia, Lancaster, Palmdale, Ridgecrest, Twentynine Palms, and Victorville, and the towns of Apple Valley and Yucca Valley; the Counties of Inyo, Kern, Los Angeles and San Bernardino; and the Indian Wells Valley Water District. • State of California: The California Department of Fish and Game and California Department of Transportation • Federal: The Bureau of Land Management and the United States Fish and Wildlife Service.
These agencies and local jurisdictions are cooperating with a variety of nongovernmental organizations, including businesses, environmental organizations, user groups and others with a stake in the future management of the planning area, to develop the West Mojave Plan. Over 100 non-governmental organizations (NGO) have participated in this process. Representatives of the agencies, jurisdictions and NGOs comprise the West Mojave Supergroup. /// US Air Force - Edwards Air Force Base, CA
",,,,20,,"• Local Jurisdictions: The cities of Adelanto, Barstow, California City, Hesperia, Lancaster, Palmdale, Ridgecrest, Twentynine Palms, and Victorville, and the towns of Apple Valley and Yucca Valley; the Counties of Inyo, Kern, Los Angeles and San Bernardino; and the Indian Wells Valley Water District. • State of California: The California Department of Fish and Game and California Department of Transportation • Federal: The Bureau of Land Management and the United States Fish and Wildlife Service.
These agencies and local jurisdictions are cooperating with a variety of nongovernmental organizations, including businesses, environmental organizations, user groups and others with a stake in the future management of the planning area, to develop the West Mojave Plan. Over 100 non-governmental organizations (NGO) have participated in this process. Representatives of the agencies, jurisdictions and NGOs comprise the West Mojave Supergroup.
","Chapter 3.0 through 3.3 OR See ""APPENDIX B MEASURES APPLICABLE TO EACH JURISDICTION UNDER ALTERNATIVE A""",chapter 1 (overview) - https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-1-Chapter1_Bookmarks.pdf /// contains partner actions - https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-2-Complete-Bookmarks.pdf, ,1,"US Air Force - Edwards Air Force Base, CA",entire document is management plan for this organization,https://apps.dtic.mil/dtic/tr/fulltext/u2/a616534.pdf,Reference to 1992 MOU - unsure if this is relevant for this species,?,unknown,"The West Mojave planning process was formally initiated in 1992 by the execution of a Memorandum of Understanding By and Between the U.S. Bureau of Land Management and the Undersigned Participating Agencies (MOU; see Appendix A). Recognizing that CESA and FESA direct the parties to “protect certain species of concern and their habitats from adverse effects resulting from public and private development and actions” and acknowledging that “the private sector cannot now be assured that project review will be timely or that mitigation, compensation, and other requirements will be consistent among the participating agencies” (MOU, page 1), the MOU identified the following “Purposes of the Plan”: 1. Protection of Species of Concern: To conserve and protect species of concern and the ecosystem on which they depend within the western Mojave Desert. 2. Provide Equity in Regulation: To provide a comprehensive means to coordinate and standardize mitigation and compensation requirements so that public and private actions will be regulated equally and consistently, reducing delays, expenses, and regulatory duplication. It is intended that the Plan will eliminate uncertainty in developing private projects and will prescribe a system to ensure that the costs of compensation/mitigation are applied equitably to all agencies and parties. 3. Reduce Cumulative Impacts: To prescribe mitigation measures for private development and agency actions to lessen or avoid cumulative impacts to the species of concern and eliminate, whenever possible, case-by-case review of impacts of projects when consistent with the mitigation and compensation requirements prescribed by the Plan. [MOU, page 2]",unable to find doc
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,,,,,,,2,18+,"CCA/CCAA NM, CCAA TX",,,,,3+,CCA/CCAA NM,"Developed cooperatively by: U.S. Fish and Wildlife Service U.S. Bureau of Land Management Center of Excellence for Hazardous Materials Management… The CCA is a voluntary agreement, administered by CEHMM, with Participating Cooperators. Certificates of Participation (CPs) will be issued by CEHMM pursuant to this CCA in order to facilitate the voluntary cooperation of the oil and gas industry, livestock producers, and other interested stakeholders, thereby providing conservation benefits to the LPC and/or the SDL.","Participating Cooperators will implement conservation measures and contribute funding or provide in-kind services for conservation as part of their CPs. Funds contributed as part of this CCA may or may not be used on the enrolled property since other habitat areas may be a higher priority for implementation of conservation measures. The conservation measures implemented by Participating Cooperators would generally consist of habitat restoration and enhancement activities, and minimizing habitat degradation not required by current regulation aimed at reducing and/or eliminating current threats to the species. / Through this CCA, CEHMM will work with Participating Cooperators who voluntarily commit to implementing or funding specific conservation actions that will reduce and/or eliminate threats to these species. CEHMM is a 501(c)(3) organization, established in 2004, that is dedicated to cutting edge applied research programs, community support, education, and cooperative conservation. Flagship projects include participation in the recovery and conservation of listed and candidate species, including LPC conservation and recovery (including captive propagation), SDL conservation and recovery, riparian conservation, and conservation education. / The Center of Excellence for Hazardous Materials Management (CEHMM), a 501(c)(3) will be responsible for enrolling Participating Cooperators. The FWS, BLM, and NMDGF will work cooperatively to determine which conservation measures are the highest priorities. It is important to note that funds or in-kind services (work conducted by a Participating Cooperator on lands for which they hold a lease or permit from the BLM) associated with a CP may or may not be used on the enrolled property as described under its corresponding CP since that area may not encompass the highest priority area identified for conservation actions by the BLM and the FWS. It is important to note that if a Participating Cooperator chooses to perform in-kind conservation services, the Participating Cooperator must perform these services on the equivalent amount of acreage as if these conservation services had been contracted through CEHMM.",https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf,CCAA TX,15,"Developed in consultation with: U.S. Fish and Wildlife Service – Southwest Region, U.S. Department of Agriculture Natural Resources Conservation Service, Texas A&M University, Texas Comptroller of Public Accounts, Texas Interagency Task Force on Economic Growth and Endangered Species, Texas Department of Agriculture, Texas Parks and Wildlife Department, Railroad Commission of Texas, University of Texas System- University Lands, Texas Farm Bureau, Texas Oil & Gas Association, Texas Royalty Council, Texas & Southwestern Cattle Raisers Association, Texas Wildlife Association, Texas Association of Business","An advisory committee structure was established to develop the Plan. The committees consisted of various stakeholders and were divided into a Science Committee, a Policy Committee, and a Steering Committee. Decisions were made either on a consensus basis or vote. The Science Committee included biologists from the Texas Parks & Wildlife Department, Texas Department of Agriculture, United States Department of Agriculture’s Natural Resources Conservation Service (NRCS), Texas A&M University, and the Texas Wildlife Association. The Policy and Steering Committees included various stakeholders from the above agencies and the Railroad Commission of Texas and affected parties, including landowners, Texas and Southwestern Cattle Raisers Association, Texas Farm Bureau, Texas Oil and Gas Association, Texas Royalty Council, and University of Texas System University Lands. The FWS provided technical guidance. Meetings were open to the public (in person or via phone) and agendas, documents and meeting notes were posted on the Permit Holder’s website. Pursuant to ESA Sections 10(a)(1)(A) and (B), the following Plan describes a locally controlled and innovative approach for compliance with the ESA. Should the DSL be listed, permits issued to the Permit Holder would provide assurances to Participants and authorize incidental “take” of the DSL to Participants who voluntarily enroll and fully implement their conservation commitments. The Plan will continue economic development and promote habitat protection for the DSL across its range in Texas. (*note conservation commitments for each party not specified)",https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_1611.pdf,,,,,
Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,,,,,,,1,3,CCA,"California department of Fish and Wildlife – Northern region, USDA Forest service – Pacific Southwest region, Eagle Lake Ranger District – Lassen national Forest, USFWS – Sacramento Fish and Wildlife Office",,,,3,CCA,"California department of Fish and Wildlife – Northern region, USDA Forest service – Pacific Southwest region, Eagle Lake Ranger District – Lassen national Forest, USFWS – Sacramento Fish and Wildlife Office",page 8-11 each objective listed and party responsible,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf,Coordinated Resource Management Planning (CRMP) group - no publications/group website?,,,,,,,,,
Pyrgulopsis notidicola,ELONGATE MUD MEADOW SPRINGSNAIL,,,,,,,1,7,unclear ,"Nevada Department of Wildlife, The National Park Service, The Bureau of Land Management and the Fish and Wildlife Service, in addition to The Nevada Natural Heritage Program (NNHP), The Nature Conservancy (TNC), and Desert Research Institute (DRI).",,,,7, ,"Nevada Department of Wildlife, The National Park Service, The Bureau of Land Management and the Fish and Wildlife Service, in addition to The Nevada Natural Heritage Program (NNHP), The Nature Conservancy (TNC), and Desert Research Institute (DRI).","The Nevada Natural Heritage Program (NNHP), The Nature Conservancy (TNC), and Desert Research Institute (DRI) partnered in 2008 to prepare this Springs Conservation Plan as a roadmap for prioritizing conservation actions for 283 springs of biodiversity significance. This project was funded by Nevada’s Question 1 Bond Initiative and the Environmental Protection Agency. Detailed field surveys were conducted by NNHP and DRI staff, while TNC conducted current status and threat assessments in conjunction with the Springs Conservation Plan Working Group. This working group comprises a diverse group of agencies, including The Nevada Department of Wildlife, The National Park Service, The Bureau of Land Management and the Fish and Wildlife Service, in addition to TNC, DRI, and NNHP. ",https://static1.squarespace.com/static/551345b8e4b05ad7b907caef/t/55205d61e4b0576112e11baa/1428184417170/NevadaSpringsCosnervationPlan.pdf,,,,,,,,,,
