Scientific name,Common name,agreement number ,partner in agreement,Note if plan is management area (and relevance to the species if information is present),Programatic (Y/N),type of partners,doc link,notes on actions taken (from notes tab),Don't know how to categorize action - dump text here,1. Land/Water Management,2. Species Management,3. Awareness raising,4. law enforcement and prosecution,"5. livelihood, economic and moral incentrives",6. Conservation Design and Planning,7. Legal and Policy frameworks,8. Research and monitoring,9. Education and Training,10. Institutional Development,funding ,
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,Natural Resources and Conservation Servce, ,Y,C,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf, ,," 2. Participate in the development of mutually agreeable site-specific plans in coordination with Participating Landowners, and the other Agencies. Specifically, NRCS will prepare the portion of the site-specific plans that ensures NRCS’ quality criteria for soil, water, air, plants, and animals are met. This plan may include, but is not limited to--specific assessments and recommendations for riparian habitats, irrigation water management, prescribed grazing, and nutrients. 3. ",0,0,0,0,Carry out any responsibilities for implementing conservation measures in any site-specific plan that is contracted through a conservation program for which NRCS has administrative responsibility. / appropriate fish passage devices to permit grayling movement past irrigation structures,0,entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands / . Carry out the responsibilities for riparian vegetation monitoring as assigned to NRCS under this Agreement and in any site-specific plan. Carry out any monitoring necessitated by NRCS contractual requirements or cost share programs.,0,"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to--enrollment of landowners; // 5. Provide MFWP with information relating to plans written and practices planned and/or installed to assist with the preparation of annual reports, within statutory limitations and Participating Landowner approval.",6. Actively pursue and provide available Federal funding to support implementation of the Agreement and any site-specific plan. 7. Designate EQIP focus areas and provide financial assistance to private landowners as available., 
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 1 CCAA,USFWS, ,Y,S,https://www.fws.gov/mountain-prairie/es/species/fish/grayling/CCAA_June2006.pdf, ,,0,0,0,0,0,"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to-- and development, negotiation and implementation of site-specific plans. / (diversions) at all flows, redesigning and reconstructing diversion structures to facilitate","3. Upon execution of the Agreement and compliance with all applicable laws, issue MFWP the Permit, in accordance with 50 CFR 17.32 (d), that would provide MFWP and Participating Landowners authorization for take of grayling associated with covered activities at specified levels and provide regulatory assurances to Participating Landowners should the upper Missouri River grayling DPS be listed under the ESA. Take and regulatory assurances for covered activities will become effective according to the phased implementation schedule described in this Agreement. // 8. Provide oversight on the issuance of Certificates of Inclusion and approval of site-specific plans. Review and reach a determination (i.e. approve or deny) on-- a) implementation of rapid assessment provisions and Certificate of Inclusion issuance, and b) individual site-specific plans. The USFWS will make these determinations within 30 days of receipt. 9. Suspend or revoke, in whole or in part, the Certificates of Inclusion of Participating Landowners found to be in non-compliance with the requirements of the Agreement or their mutually-developed site-specific plan. The MFWP and USFWS may suspend or revoke the Certificate of Inclusion for cause in accordance with the laws and regulations in force at the time of such suspension or revocation (50 CFR 13.28(a)). If MFWP or the USFWS determines that a Participating Landowner is violating the terms of the sitespecific plan, written notice shall be sent to the Participating Landowner advising the Participating Landowner of the nature of the violation and identifying corrective actions required to bring the Participating Landowner back into compliance with the site-specific plan. Take authorization and the regulatory assurances associated with the Certificate of Inclusion may be suspended or revoked if the landowner does not remedy the violation within seven (7) days after receipt of the notice. 10. Suspend or revoke, in whole or in part, the Permit if the Permit terms are not being properly implemented.",entrainment surveys; negotiation of interim SFAs; collection of baseline data on enrolled lands / rapid assessment surveys,0,"Participate, as necessary, in the implementation of all phases of the Agreement, including, but not limited to--enrollment of landowners; // 7. Participate in the formation of a technical committee to assess threats to grayling in the Project Area from nonnative trout species. // 11. Assist MFWP with the compilation of information and the preparation of annual reports.",, 
Thymallus arcticus,ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS,doc 2 Dillon Resource Management Plan (RMP),BLM,Information taken was species specific only - entire document is only BLM so can say partner specific ,N,S,https://eplanning.blm.gov/epl-front-office/projects/lup/77497/103609/126835/ApprovedPlan.pdf, ,,Initiate habitat restoration on fishery streams that are not in proper functioning condition. Place top priority for habitat restoration and improvement of habitats supporting arctic grayling and habitats containing 99 percent and above genetically pure westslope cutthroat trout / Manage habitats along streams containing arctic fluvial grayling to achieve potential channel types and dimension or show an upward trend within 15 years with the intent of enhancing fish habitat,0, ,,,"Pursue water leasing and improved water management to benefit fisheries values in coordination with FWP on Class 1 (blue ribbon) streams with a priority placed on westslope cutthroat trout and fluvial arctic grayling streams // Encourage compatible maintenance work on diversion structures to reduce fluvial arctic grayling loss in irrigation ditches. / grayling passage where ladders or retrofitting is not feasible, installing screening or other",Develop a cooperative agreement with FWP for adequate protection and access to the fluvial arctic grayling brood pond within the Axolotl Lakes area.,,,,,
Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,USFS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,1. Have primary responsibility for implementation of specific conservation actions to protect and restore Arizona bugbane habitat and ensure that viable populations are maintained throughout its natural range on National Forest System lands.,diversion to avoid entraining grayling when they are present or migrating through the / ensure that viable populations are maintained throughout its natural range on National Forest System lands.,0,0,0,"Evaluate opportunities for conservation easementsand/orland acquisition of additional important private inholdings of Arizona bugbane populations, if any become known",0,2. Conduct detailed monitoring (level 1) at each selected site as identified in the Forests' / 9. Support studies and other scientific research to better understand the biology and ecology of the Arizona bugbane,0,6. Fully involve the Fish and Wildlife Service and appropriate State agencies as cooperators or partners throughout the National Environmental Policy Act process for all projects likely to affect Arizona bugbane or its habitat. // ,0,
Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,USFWS,,N,S,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,0,0,0,0,0,0,"2. Assess listing Arizona bugbane under the Endangered Species Act if implementation of this agreement is not occurring, or if the conservation measures prove to be inadequate to protect the species or its habitat. Listing would follow the normal rulemaking process. 3. Become fully involved throughout the NEPA progress for all projects likely to affect Arizona bugbane or its habitat (reference #6 above).",0,1. Provide technical assistance in the implementation of this Conservation Agreement and ensure adequate protection and management is occurring,0,0,
Cimicifuga arizonica,ARIZONA BUGBANE,doc 1 conservation agreement,"USFWS, BLM ",,N,M,https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/AZBugbane/azbugbanefnl.pdf, ,,0,0,0,0,0,0,0,"Creek, Workman Creek) every five years, on a rotating schedule. Monitor all other",0,"3. Annually review implementation of the provisions of this agreement. Coordinate development of monitoring protocol, and sharing of data and information, conduct field reviews as needed, and provide recommendations to the Regional Forester and Regional Director on any proposed amendments to the Conservation Agreement. 4. Coordinate with appropriate State and Federal agencies on the implementation of wildlife management strategies within Arizona bugbane habitat. Provide survey and site specific data to the Arizona Game and Fish Department Heritage Data Management System.",2. Ensure outyear budget needs and botanical staffing are programmed to facilitate implementation of the actions identified for the respective agencies., 
Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,doc 1 conservation agreement,USFS,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf, ,,The USFS agrees to – manage the summit and open slopes of Mt. Ashland to protect existing populations of Mt. Ashland lupine and Hederson’s horkelia. Population levels need to be maintained to snsure that loss of a few individuals to minor disturbances will have no effect on the future viability of both Mt. Ashlan populations. // The USFS agrees to – manage habitat for Henderson’s horkelia in the Dutchman Peak/Jackson Gap/Observation Peak area in a manner that maintains the viability of this large complex of Henderson’s horkelia patches and sub-populations. Sufficient population levels need to be maintained to ensure that loss of a few individuals to minor disturbances has no effect on the future viability of the Henderson’s horkelia in this vicinity.  // The USFS agrees to – manage occupied Henderson’s horkelia habitat along the McDonald ridge and Dry Lake in a manner that is not detrimental to the Henderson’s horkelia. Population levels in these small occurrences may decline or extirpation may occur due to random events or environmental factors beyond the control of the USFS // note- there are more specific conservation activities listed in the document but I couldn’t copy and paste the text,The USFS agrees to – manage the summit and open slopes of Mt. Ashland to protect existing populations of Mt. Ashland lupine and Hederson’s horkelia. Population levels need to be maintained to snsure that loss of a few individuals to minor disturbances will have no effect on the future viability of both Mt. Ashlan populations,0,0,0,0,0,"populations with broad sampling methods every five years, to be implemented on a",0,0,0,
Lupinus aridus ssp. ashlandensis,ASHLAND LUPINE,doc 1 conservation agreement,USFWS,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_304.pdf, ,,0,0,0,0,0,0,0,"rotating schedule. At Workman Creek and Lower West Fork, broad sampling protocol / Monitoring ",0,2. Inform Rogue River and Klamath National Forests of new FWS activities that involve Mt. Ashland lupine and Henderson's horkelia or that affect this conservation agreement,5. Cooperate in cost sharing of studies and similar actions specific to this conservation agreement as allowed by funding., 
Erigeron basalticus,BASALT DAISY,doc 1,NPS,Not a signed agreement so different catgeogry of partner --> but G,N,G,https://botanicgardens.uw.edu/wp-content/uploads/sites/7/2014/10/RarePlantPressVolIINo2.pdf,"Under this project, Rare Care is collecting seeds from populations of rare and endemic plants on national parks for long term storage in the Miller Seed Vault. By banking seeds of wild plant populations now, the NPS is safeguarding against the loss of the genetic diversity represented in the populations today and at the same time collecting the genetic material needed for restoring populations of these species once the impacts of global climate change are better understood. Over a two year period, Rare Care will collect seeds from rare plants in Olympic National Park, Mt Rainier National Park, and North Cascades National Park. In 2007, successful collections were made of Cotton’s milkvetch (Astragalus cottonii) from Olympic National Park, green keeled cotton-grass (Eriophorum viridicarinatum) from North Cascades National Park, and Mt. Rainier lousewort (Pedicularis rainierensis) and obscure Indian paintbrush (Castilleja cryptantha) from Mt. Rainier National Park. Additional collections will be made in the 2008 season.",,,,,,,located on NPS,,will be implemented each year when detailed monitoring is not done.,,,, 
Erigeron basalticus,BASALT DAISY,doc 1,Rare Care,,N,G,https://botanicgardens.uw.edu/wp-content/uploads/sites/7/2014/10/RarePlantPressVolIINo2.pdf, ,,,"Rare Care is collecting seeds from populations of rare and endemic plants on national parks for long term storage in the Miller Seed Vault. By banking seeds of wild plant populations now, the NPS is safeguarding against the loss of the genetic diversity represented in the populations today and at the same time collecting the genetic material needed for restoring populations of these species once the impacts of global climate change are better understood.",,,,,,,,,,
Opuntia X multigeniculata,BLUE DIAMOND CHOLLA,doc 1 HCP,BLM,*For 79 species - the partners listed are only those that relate to this species,N,G,http://www.clarkcountynv.gov/airquality/dcp/Documents/Library/current%20HCP/cc-appa.pdf, , ,Implement actions in the Blue Diamond Cholla Conservation Agreement to ensure the long-term viability of the species,Implement actions in the Blue Diamond Cholla Conservation Agreement to ensure the long-term viability of the species, ,,,"Red Rock Canyon NCA is closed to mining laws, subject to valid and existing rights (83% of blue diamond cholla population is protected).", ,,,, ,
Phacelia stellaris,BRAND'S PHACELIA,doc 1 CCA ,US Navy,,N,S,https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1043.pdf,"1. Each landowner/manager will provide an annual update outlining the implementation of this CCA, summarizing the results thereof, and outlining any changes or improvements where needed: a. This report will be provided to the NBC Natural Resources staff by October 15; b. The NBC Natural Resources staff will consolidate these reports into one submission to the Service for review by November 15. 2. Cooperating agencies will establish and participate in a Brand’s Phacelia Working Group consisting of their staff (or designated representatives), the Service, and biologists involved in conducting surveys, if available. Working Group participants will meet annually to: a. provide site-specific updates on the status of the plants and habitat management; b. evaluate ongoing management strategies for Brand’s phacelia and assess the effectiveness of implementation of the Conservation Action Items to date; and c. discuss and develop additional management strategies that the landowners could choose to implement as part of an adaptive management approach, should management to date appear insufficient or should a different approach to management be indicated. - - - - - Agency-Specific Commitments::: Naval Base Coronado::: 5. Management in the INRMP will be designed to avoid actions which may cause a species to become threatened or endangered. In addition to those species listed as threatened or endangered under the Act, or that are candidates for such listing, the U.S. Navy has recognized the need to implement special management direction for other rare species on the lands it administers. 6. Fund weed control, dune restoration, and habitat enhancement on an annual basis to monitor and treat as needed any plant that poses a threat to the continued success of Brand’s phacelia. Invasive species funding will be targeted for the removal of iceplant to promote the expansion of Brand’s phacelia beyond the baseline population level in areas not used for training. 7. Monitor all known Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas [e.g., SSTC-South and Naval Outlying Landing Field Imperial Beach (NOLF IB)]. If the distribution of Brand’s phacelia expands beyond its current known distribution at NBC, additional occurrences will be managed to the extent feasible, in accordance with this CCA. 8. Ensure that mowing within occupied habitat at NAS North Island continues in a manner which minimizes effects to Brand’s phacelia. 9. To the greatest extent feasible, work with the Navy operators to conduct all activities associated with military operations (including maintenance) in a manner that minimizes adverse effects to existing populations and perhaps promotes Brand’s phacelia populations. The NBC Installation Botanist will: a. provide military operators and schedulers the most recent GIS layers for Brand’s phacelia distribution. When possible, plant locations will be considered in conducting training events; and b. coordinate with military operators to reduce the risk of invasion of nonnative plants and noxious weeds in Brand’s phacelia habitat areas. 10. To the greatest extent feasible, provide access and support studies/scientific research specific to the biology and ecology of Brand’s phacelia at NBC or off site. 11. Continue seed collection and offsite seed storage program. Storage program will be done by an entity experienced with maintaining seed repositories. 12. Monitor Brand’s phacelia occupied and adjacent habitat for invasive plants. Spraying in or near populations of Brand’s phacelia will be evaluated on a site-specific and herbicidedependent basis prior to application to alleviate negative impact to the species and its potential pollinators and non-target, native vegetation. 13. Monitor recreational impacts and the effects of public parking on the Brand’s phacelia population at SSTC-N Bayside. Signs, flagging, and other strategies to minimize disturbance from parking and public recreation will be implemented as necessary. 14. Monitor Brand’s phacelia at SSTC-N Bayside annually to assess whether ingress/egress of military users is affecting plants in this area. 15. If required, complete NEPA analysis for implementation of future projects in areas occupied by Brand’s phacelia. The NEPA process seeks to avoid and minimize effects to sensitive resources. The Service, cooperators, and public can review projects as a part of the NEPA process. 16. Notify Cooperating Agencies and/or the Working Group of future projects with the potential to affect Brand’s phacelia. MCB Camp Pendleton 17. Fund weed control, dune restoration, and habitat enhancement on an annual basis to treat, as needed, any plant that poses a threat to the continued success of Brand’s phacelia. Invasive species funding will targeted towards the removal of invasive nonnative forbs and invasive annual grasses and their thatch to improve habitat conditions for Brand’s phacelia. 18. Monitor the known Brand’s phacelia population every year for the duration of this agreement. 19. Inventory for new populations in suitable habitat areas in the lower Santa Margarita River. California State Parks 20. Provide annual invasive species control within areas that support Brand’s phacelia. Invasive plant control will consist of herbicide treatment or removal of iceplant. If monitoring data or data from working group suggests that Brand’s phacelia occurrences are in decline relative to increases in a specific invasive plant species, then those species will be treated intensively. Species to consider include European searocket, Saharan mustard, Oenothera laciniata (cutleaf evening-primrose), Emex spinosa (devil’s thorn), and annual grasses that produce heavy thatch (e.g., Bromus diandrus, Lolium perenne). If new occurrences of an invasive species are identified on site by CSP or by the working group they will be treated or removed as early as possible. 21. Monitor representative large and small Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas (e.g., the ocean side of Silver Strand State Beach). If the distribution of Brand’s phacelia expands beyond its current known distribution at NBC, additional occurrences will be managed to the extent feasible, in accordance with this CCA. 22. Work with visitor service and facilities maintenance staff to minimize significant adverse effects from recreational activities and ongoing site maintenance to existing occurrences of Brand’s phacelia and to its habitat. The CSP Environmental Scientist (ES) will provide SSSB park staff with the most recent GIS layers for Brand’s phacelia. 23. To the greatest extent feasible, provide access and support studies/scientific research specific to the biology and ecology of Brand’s phacelia at SSSB. 24. Continue the plant propagation program. Amplify seed for supplementation of small populations or development of new populations. 25. Monitor Brand’s phacelia occupied and adjacent habitat for invasive plants. Spraying in or near populations of Brand’s phacelia will be evaluated on a site-specific and herbicidedependent basis prior to application to alleviate negative impact to the species and its potential pollinators and non-target, native vegetation. 26. Interpretive signs and public education will be provided. Fencing will be installed (either temporary or permanent) as necessary to support Brand’s phacelia conservation efforts. 27. Manage special events to the extent feasible to avoid large off-pavement events on the bayside between germination of plants and seed maturity (approximately November through April). Special event leaders will be provided educational material about rare plant conservation efforts at SSSB at the beginning of the event. 28. Notify Cooperating Agencies and/or the Working Group of future projects with the potential to affect Brand’s phacelia. U.S. Customs and Border Protection 29. Provide invasive species control on an annual basis within the portion of Lichty Mesa supporting Brand’s phacelia. Invasive species which may be selected for removal include Saharan mustard, devil’s thorn, and crown daisy, smooth cat’s ear, crystalline iceplant, red brome, Pampas grass, and Mediterranean grass. Native species that are not considered part of the local native flora at this location and could be considered for removal include sealavender, California broom, saltbush, giant coreopsis, and purple needlegrass. 30. Monitor all known Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas. If the distribution of Brand’s phacelia expands beyond its current known distribution at Lichty Mesa, additional occurrences will be managed to the extent feasible, in accordance with this CCA. 31. To the greatest extent feasible, work with Border Patrol agents to conduct all activities associated with border security (including patrols and pursuits) in a manner that minimizes adverse effects to existing populations. CBP will: a. provide Border Patrol agents the most recent GIS layers for Brand’s phacelia distribution. When possible, plant locations will be considered in conducting patrols; and b. coordinate with Border Patrol agents to reduce the risk of invasion of non-native plants and noxious weeds in Brand’s phacelia habitat areas. 32. Notify Cooperating Agencies and/or the Working Group of future projects with the potential to affect Brand’s phacelia.",,"Fund weed control, dune restoration, and habitat enhancement on an annual basis to monitor and treat as needed any plant that poses a threat to the continued success of Brand’s phacelia. Invasive species funding will be targeted for the removal of iceplant to promote the expansion of Brand’s phacelia beyond the baseline population level in areas not used for training.","Management in the INRMP will be designed to avoid actions which may cause a species to become threatened or endangered. In addition to those species listed as threatened or 19 endangered under the Act, or that are candidates for such listing, the U.S. Navy has recognized the need to implement special management direction for other rare species on the lands it administers. /// Monitor all known Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas [e.g., SSTC-South and Naval Outlying Landing Field Imperial Beach (NOLF IB)]. If the distribution of Brand’s phacelia expands beyond its current known distribution at NBC, additional occurrences will be managed to the extent feasible, in accordance with this CCA. // Continue seed collection and offsite seed storage program. Storage program will be done by an entity experienced with maintaining seed repositories. //  Monitor Brand’s phacelia occupied and adjacent habitat for invasive plants. Spraying in or near populations of Brand’s phacelia will be evaluated on a site-specific and herbicidedependent basis prior to application to alleviate negative impact to the species and its potential pollinators and non-target, native vegetation. // Monitor Brand’s phacelia occupied and adjacent habitat for invasive plants. Spraying in or near populations of Brand’s phacelia will be evaluated on a site-specific and herbicidedependent basis prior to application to alleviate negative impact to the species and its potential pollinators and non-target, native vegetation. // ",0,0,0,0,"If required, complete NEPA analysis for implementation of future projects in areas occupied by Brand’s phacelia. The NEPA process seeks to avoid and minimize effects to sensitive resources. The Service, cooperators, and public can review projects as a part of the NEPA process","Monitor all known Brand’s phacelia populations every year for the duration of this agreement and monitor for new populations in suitable habitat areas [e.g., SSTC-South and Naval Outlying Landing Field Imperial Beach (NOLF IB)]. If the distribution of Brand’s phacelia expands beyond its current known distribution at NBC, additional occurrences will be managed to the extent feasible, in accordance with this CCA",0,"To the greatest extent feasible, work with the Navy operators to conduct all activities associated with military operations (including maintenance) in a manner that minimizes adverse effects to existing populations and perhaps promotes Brand’s phacelia populations. // The NBC Installation Botanist will: a. provide military operators and schedulers the most recent GIS layers for Brand’s phacelia distribution. When possible, plant locations will be considered in conducting training events; and b. coordinate with military operators to reduce the risk of invasion of nonnative plants and noxious weeds in Brand’s phacelia habitat areas. // . Notify Cooperating Agencies and/or the Working Group of future projects with the potential to affect Brand’s phacelia.",0, 
